TI3;"ShaRay""""";"MidwPisc""""";"Lplank""""";"LgReefCarn""""";"SmPlank""""";"SmReefCarn""""";"LgGroup""""";"SmReefHerb""""";"LgReefHerb""""";"Cepha""""";"Echino""""";"Crus""""";"WormMollu""""";"Sess""""";"Zoopl""""";"BenthProd""""";"Decomp""""";"Phyto""""";"Turtule""""";;SUM
WO3;"ShaRay""""";"MidwPisc""""";"Lplank""""";"LgReefCarn""""";"SmPlank""""";"SmReefCarn""""";"LgGroup""""";"SmReefHerb""""";"LgReefHerb""""";"Cepha""""";"Echino""""";"Crus""""";"WormMollu""""";"Sess""""";"Zoopl""""";"BenthProd""""";"Decomp""""";"Phyto""""";"Turtule""""";;SUM
"BenthProd""""";0;0,05;0,05;0,13;0,05;0,11;0;0,05;0,05;0;0,13;0,18;0,21;0,18;0,26;0;0,21;0,08;0;;1,76
"Cepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Crus""""";0;0,05;0,05;0,13;0,05;0,11;0;0,05;0,05;0;0,16;0;0,18;0,21;0,18;0,18;0,16;0,08;0;;1,66
"Decomp""""";0;0,05;0,05;0,13;0,05;0,11;0;0,03;0,03;0;0,11;0,16;0,13;0,16;0,18;0,21;0;0,08;0;;1,47
"Echino""""";0;0,05;0,03;0,11;0,03;0,08;0;0,05;0,05;0;0;0,16;0,16;0,16;0,13;0,13;0,11;0,03;0;;1,26
"LgGroup""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LgReefCarn""""";0;0,05;0,05;0;0,05;0,11;0;0,03;0,03;0;0,11;0,13;0,11;0,13;0,11;0,13;0,13;0,05;0;;1,21
"LgReefHerb""""";0;0;0;0,03;0;0,03;0;0,05;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,03;0;0;;0,45
"Lplank""""";0;0;0;0,05;0,05;0,05;0;0;0;0;0,03;0,05;0,03;0,05;0,03;0,05;0,05;0,05;0;;0,5
"MidwPisc""""";0;0;0;0,05;0;0,03;0;0;0;0;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0;0;;0,45
"Phyto""""";0;0;0,05;0,05;0,05;0,05;0;0;0;0;0,03;0,08;0,05;0,08;0,05;0,08;0,08;0;0;;0,66
"Sess""""";0;0,05;0,05;0,13;0,05;0,11;0;0,05;0,05;0;0,16;0,21;0,24;0;0,24;0,18;0,16;0,08;0;;1,76
"ShaRay""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"SmPlank""""";0;0;0,05;0,05;0;0,05;0;0;0;0;0,03;0,05;0,03;0,05;0,03;0,05;0,05;0,05;0;;0,5
"SmReefCarn""""";0;0,03;0,05;0,11;0,05;0;0;0,03;0,03;0;0,08;0,11;0,08;0,11;0,08;0,11;0,11;0,05;0;;1
"SmReefHerb""""";0;0;0;0,03;0;0,03;0;0;0,05;0;0,05;0,05;0,05;0,05;0,05;0,05;0,03;0;0;;0,45
"Turtule""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"WormMollu""""";0;0,05;0,03;0,11;0,03;0,08;0;0,05;0,05;0;0,16;0,18;0;0,24;0,26;0,21;0,13;0,05;0;;1,63
"Zoopl""""";0;0,05;0,03;0,11;0,03;0,08;0;0,05;0,05;0;0,13;0,18;0,26;0,24;0;0,26;0,18;0,05;0;;1,71
