TI3;"GeySeal""""";"Acod""""";"Jcod""""";"Ahadd""""";"Awhit""""";"Poll""""";"FlatFish""""";"Ldem""""";"Herr""""";"NorPout""""";"PoorCod""""";"Sande""""";"HarSeal""""";"Mack""""";"HorMack""""";"Cepha""""";"Cet""""";"OSFish""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Bird""""";"Sha""""";"Sprat""""";"Crus""""";"EpiFau""""";"Neph""""";"InFau""""";"Jwhit""""";"Gurna""""";"MonkFish""""";"Phyto""""";"Jhadd""""";"Ray""""";"BlueWhit""""";;SUM;
"InFau""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jwhit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Gurna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"MonkFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Jhadd""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"Ray""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
"BlueWhit""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"GeySeal""""";"Acod""""";"Jcod""""";"Ahadd""""";"Awhit""""";"Poll""""";"FlatFish""""";"Ldem""""";"Herr""""";"NorPout""""";"PoorCod""""";"Sande""""";"HarSeal""""";"Mack""""";"HorMack""""";"Cepha""""";"Cet""""";"OSFish""""";"Opela""""";"Lzoopl""""";"Szoopl""""";"Bird""""";"Sha""""";"Sprat""""";"Crus""""";"EpiFau""""";"Neph""""";"InFau""""";"Jwhit""""";"Gurna""""";"MonkFish""""";"Phyto""""";"Jhadd""""";"Ray""""";"BlueWhit""""";;SUM;
"GeySeal""""";19,2;581,46;2967,68;7475,51;741,29;7671,83;12478,7;5495,48;888306,43;34931,72;8599,55;46802,85;29,88;191287,51;77774,15;110062,32;1212,27;53689,92;23026,2;84795,42;1704189,39;1516,59;3133,46;177131,16;39337,77;269485,37;33727,26;654713,54;11272,07;2511,76;94,86;14694932,76;15035,51;3141,31;279365,73;;19447537,92;
"Acod""""";845,76;35813,59;152989,78;887315,73;29351,74;64713,46;968279,87;570465,8;8498210,88;334470,37;523402,14;382895,45;951,38;1920730,77;1029099,97;1670702,38;18979,52;571226,93;1357828,65;817122263,7;2926271527;62900,48;123053,69;1444632,51;8767002,88;1371439873;829410,44;1662545574;882069,65;49587,24;4305,32;1062103440;1572865,42;335177,09;2284387,23;;7874856345;
