TI3;"Totoa""""";"Vaqu""""";"LobMar""""";"Merlu""""";"Sciae""""";"Rhino""""";"CDeRo""""";"PecPla""""";"OtroPec""""";"Cazul""""";"Cefalo""""";"Haemu""""";"Major""""";"Serran""""";"Mycto""""";"Pelagic""""";"Tibur""""";"BallDent""""";"BallBar""""";"InFau""""";"Polique""""";"Zoopl""""";"Stomat""""";"Manta""""";"Ccafe""""";"Jaib""""";"Macrofit""""";"Fitopl""""";;SUM
"BallDent""""";0;0;0;0,02;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;;0,8
"Cazul""""";0;0;0;0,02;0,05;0,05;0,07;0,09;0,09;0;0,09;0,09;0,09;0,04;0,09;0,09;0;0,04;0,07;0,09;0,09;0,09;0,09;0,09;0,04;0,05;0,09;0,09;;1,68
"Ccafe""""";0;0;0;0,02;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0,04;0,04;0,04;0,04;0,04;0,04;0,04;0;0,04;0,04;0,04;;0,8
"CDeRo""""";0;0;0;0,02;0,05;0,05;0;0,07;0,07;0,07;0,07;0,07;0,07;0,04;0,07;0,07;0;0,04;0,07;0,07;0,07;0,07;0,07;0,07;0,04;0,05;0,07;0,07;;1,43
"Cefalo""""";0;0;0;0,02;0,05;0,05;0,07;0,11;0,2;0,09;0;0,16;0,11;0,04;0,14;0,09;0;0,04;0,07;0,27;0,27;0,27;0,09;0,11;0,04;0,05;0,18;0,27;;2,77
"Fitopl""""";0;0;0;0,02;0,05;0,05;0,07;0,11;0,2;0,09;0,27;0,16;0,11;0,04;0,14;0,09;0;0,04;0,07;0,32;0,38;0,41;0,09;0,11;0,04;0,05;0,18;0;;3,07
"Haemu""""";0;0;0;0,02;0,05;0,05;0,07;0,11;0,16;0,09;0,16;0;0,11;0,04;0,14;0,09;0;0,04;0,07;0,16;0,16;0,16;0,09;0,11;0,04;0,05;0,16;0,16;;2,29
"InFau""""";0;0;0;0,02;0,05;0,05;0,07;0,11;0,2;0,09;0,27;0,16;0,11;0,04;0,14;0,09;0;0,04;0,07;0;0,32;0,32;0,09;0,11;0,04;0,05;0,18;0,32;;2,93
"Jaib""""";0;0;0;0,02;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0,05;0,05;0;0,04;0,05;0,05;0,05;0,05;0,05;0,05;0,04;0;0,05;0,05;;1,14
"LobMar""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Macrofit""""";0;0;0;0,02;0,05;0,05;0,07;0,11;0,16;0,09;0,18;0,16;0,11;0,04;0,14;0,09;0;0,04;0,07;0,18;0,18;0,18;0,09;0,11;0,04;0,05;0;0,18;;2,38
