TI3;"TranOrc""""";"SSLpup""""";"SSLjuv""""";"SSLad""""";"Smamm""""";"ToothWhale""""";"Sal""""";"Spela""""";"AtkaMack""""";"Herr""""";"Apoll""""";"DemSM""""";"Mycto""""";"BenthInv""""";"Cephalo""""";"Lzoopl""""";"Szoopl""""";"BalWhale""""";"ShaMeater""""";"Sandl""""";"Jpoll""""";"RockFish""""";"PacCod""""";"ShaSkate""""";"ArrToo""""";"FlatFish""""";"Lpred""""";"SabFish""""";"Shri""""";"EpiCarn""""";"Otter""""";"Bird""""";"Lpela""""";"DeepL""""";"Halib""""";"Macroph""""";"POP""""";"Phyto""""";;SUM
"Otter""""";0;0;0;0,01;0,01;0,01;0;0;0,02;0;0,01;0,02;0,01;0,02;0,01;0,01;0;0,01;0;0,03;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0;0;0,01;0,01;0;0;;0,3
"Bird""""";0,01;0;0,01;0,01;0,02;0,02;0,04;0,04;0,03;0,05;0,01;0,01;0,03;0,03;0,02;0,03;0,03;0,02;0,01;0,04;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,02;0,01;0,02;;0,77
"Lpela""""";0;0;0,01;0;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0,01;0,02;;0,39
"DeepL""""";0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,03;0,03;0,03;0,03;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,05;0,01;;0,66
"Halib""""";0,01;0;0,02;0,02;0,02;0,01;0,01;0,01;0,03;0,01;0,03;0,03;0,03;0,03;0,03;0,02;0,01;0,02;0,02;0,04;0,04;0,02;0,03;0,03;0,02;0,04;0,04;0,06;0,04;0,04;0,03;0,02;0,01;0,05;0,03;0,02;0,02;0,01;;0,96
"Macroph""""";0;0;0,01;0,01;0,01;0,01;0,04;0,04;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0;;0,45
"POP""""";0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,02;0,02;;0,54
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0,02;;0,13
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"TranOrc""""";"SSLpup""""";"SSLjuv""""";"SSLad""""";"Smamm""""";"ToothWhale""""";"Sal""""";"Spela""""";"AtkaMack""""";"Herr""""";"Apoll""""";"DemSM""""";"Mycto""""";"BenthInv""""";"Cephalo""""";"Lzoopl""""";"Szoopl""""";"BalWhale""""";"ShaMeater""""";"Sandl""""";"Jpoll""""";"RockFish""""";"PacCod""""";"ShaSkate""""";"ArrToo""""";"FlatFish""""";"Lpred""""";"SabFish""""";"Shri""""";"EpiCarn""""";"Otter""""";"Bird""""";"Lpela""""";"DeepL""""";"Halib""""";"Macroph""""";"POP""""";"Phyto""""";;SUM
"Apoll""""";0;0;0,01;0;0;0;0,03;0,01;0,16;0,01;0;0,17;0,13;0,12;0,16;0,12;0,04;0,01;0;0;0,08;0,03;0,14;0,14;0,05;0,07;0,05;0;0,04;0,03;0;0;0;0;0,01;0;0;0;;1,62
"ArrToo""""";0;0;0,01;0;0,04;0,03;0,01;0;0,05;0;0,05;0,09;0,05;0,05;0,11;0,07;0,01;0,04;0,01;0;0,05;0,01;0,09;0,12;0;0,05;0,04;0;0,03;0,03;0;0,03;0,01;0;0,05;0;0,01;0;;1,16
"AtkaMack""""";0;0;0;0;0;0;0,03;0,03;0;0,03;0,16;0,22;0,18;0,2;0,22;0,18;0,05;0;0;0,03;0,11;0,01;0,21;0,2;0,05;0,07;0,04;0;0,05;0,05;0;0;0;0;0,03;0;0;0;;2,14
"BalWhale""""";0;0;0,03;0,03;0,05;0,04;0,01;0;0;0;0,01;0,04;0;0;0,05;0,05;0,03;0;0,01;0;0;0,03;0,03;0,07;0,04;0,01;0,01;0;0;0;0;0,04;0,01;0;0,01;0;0;0;;0,61
"BenthInv""""";0;0;0;0;0,03;0;0,04;0,04;0,2;0,04;0,12;0,2;0,2;0;0,28;0,24;0,05;0;0,03;0,04;0,08;0;0,21;0,21;0,05;0,07;0,01;0;0,08;0,08;0;0;0;0,01;0,05;0;0,01;0;;2,36
"Bird""""";0;0;0,01;0,01;0,04;0,04;0;0;0;0;0;0,03;0;0;0,03;0,04;0,03;0,04;0,01;0;0;0;0,01;0,04;0,03;0;0;0;0;0;0;0;0,01;0;0;0;0;0;;0,37
"Cephalo""""";0;0;0,03;0,03;0,07;0,03;0,05;0,04;0,22;0,04;0,16;0,28;0,22;0,28;0;0,3;0,09;0,05;0,04;0,03;0,12;0,04;0,32;0,3;0,11;0,11;0,05;0;0,08;0,07;0;0,03;0;0,01;0,07;0;0,01;0;;3,25
"DeepL""""";0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0;0,01;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;0;;0,11
"DemSM""""";0;0;0,01;0;0,04;0,03;0,03;0,01;0,22;0,01;0,17;0;0,18;0,2;0,28;0,22;0,05;0,04;0;0,01;0,11;0,03;0,22;0,25;0,09;0,07;0,05;0;0,05;0,07;0;0,03;0,01;0;0,03;0;0;0;;2,51
"EpiCarn""""";0;0;0;0;0,01;0;0,01;0,01;0,05;0;0,03;0,07;0,05;0,08;0,07;0,04;0;0;0;0,03;0,05;0;0,04;0,05;0,03;0,03;0,01;0;0,03;0;0;0;0;0;0,03;0;0;0;;0,71
"FlatFish""""";0;0;0;0,01;0,01;0;0;0;0,07;0;0,07;0,07;0,07;0,07;0,11;0,05;0,01;0,01;0,01;0;0,07;0,01;0,11;0,09;0,05;0;0,04;0;0,05;0,03;0;0;0;0,01;0,04;0;0,01;0;;1,07
"Halib""""";0;0;0;0,01;0,03;0;0;0;0,03;0;0,01;0,03;0,03;0,05;0,07;0,05;0;0,01;0,01;0;0,03;0,01;0,07;0,07;0,05;0,04;0;0;0,03;0,03;0;0;0;0;0;0;0,01;0;;0,66
"Herr""""";0;0;0;0;0;0;0,03;0,03;0,03;0;0,01;0,01;0,03;0,04;0,04;0,04;0,04;0;0,01;0,01;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,34
"Jpoll""""";0;0;0;0;0,01;0;0,01;0,01;0,11;0,01;0,08;0,11;0,08;0,08;0,12;0,08;0,03;0;0;0,01;0;0,01;0,11;0,09;0,05;0,07;0,04;0;0,04;0,05;0;0;0;0;0,03;0;0;0;;1,22
"Lpela""""";0;0;0;0;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0,01;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0;0;;0,12
"Lpred""""";0;0;0,01;0;0;0;0,01;0;0,04;0;0,05;0,05;0,04;0,01;0,05;0;0;0,01;0;0;0,04;0,01;0,04;0,05;0,04;0,04;0;0;0,01;0,01;0;0;0;0;0;0;0;0;;0,54
"Lzoopl""""";0;0;0,01;0,03;0,08;0,04;0,03;0,03;0,18;0,04;0,12;0,22;0,16;0,24;0,3;0;0,13;0,05;0,03;0,01;0,08;0,03;0,25;0,26;0,07;0,05;0;0;0,05;0,04;0;0,04;0,01;0,01;0,05;0;0;0;;2,64
"Macroph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mycto""""";0;0;0;0;0,01;0;0,04;0,04;0,18;0,03;0,13;0,18;0;0,2;0,22;0,16;0,05;0;0,01;0,03;0,08;0;0,18;0,18;0,05;0,07;0,04;0;0,07;0,05;0;0;0;0,01;0,03;0;0,01;0;;2,07
"Otter""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"PacCod""""";0;0;0;0,01;0,04;0,01;0,01;0,01;0,21;0,01;0,14;0,22;0,18;0,21;0,32;0,25;0,07;0,03;0,01;0,01;0,11;0,03;0;0,26;0,09;0,11;0,04;0;0,08;0,04;0;0,01;0;0,01;0,07;0;0,01;0;;2,62
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"POP""""";0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0;0;0,01;0;0;0;0,01;0,01;0,01;0,01;0;0;0,01;0;0;0;0;0;0,01;0;0;0;;0,13
"RockFish""""";0;0;0,01;0,01;0,01;0;0,01;0;0,01;0;0,03;0,03;0;0;0,04;0,03;0,01;0,03;0;0;0,01;0;0,03;0,03;0,01;0,01;0,01;0;0;0;0;0;0;0;0,01;0;0;0;;0,34
"SabFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sal""""";0;0;0,01;0;0;0;0;0,04;0,03;0,03;0,03;0,03;0,04;0,04;0,05;0,03;0,03;0,01;0;0,03;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;;0,47
"Sandl""""";0;0;0;0;0;0;0,03;0,03;0,03;0,01;0;0,01;0,03;0,04;0,03;0,01;0,01;0;0;0;0,01;0;0,01;0;0;0;0;0;0;0,03;0;0;0;0;0;0;0;0;;0,28
"ShaMeater""""";0;0;0,01;0,01;0,01;0,01;0;0;0;0,01;0;0;0,01;0,03;0,04;0,03;0,03;0,01;0;0;0;0;0,01;0,03;0,01;0,01;0;0;0,01;0;0;0,01;0;0;0,01;0;0,01;0;;0,33
"ShaSkate""""";0;0;0,03;0,03;0,08;0,04;0,01;0;0,2;0;0,14;0,25;0,18;0,21;0,3;0,26;0,05;0,07;0,03;0;0,09;0,03;0,26;0;0,12;0,09;0,05;0;0,07;0,05;0;0,04;0,01;0;0,07;0;0,01;0;;2,78
"Shri""""";0;0;0;0;0;0;0;0;0,05;0;0,04;0,05;0,07;0,08;0,08;0,05;0,01;0;0,01;0;0,04;0;0,08;0,07;0,03;0,05;0,01;0;0;0,03;0;0;0;0,01;0,03;0;0,01;0;;0,8
"Smamm""""";0,03;0,03;0,04;0,05;0;0,04;0;0;0;0;0;0,04;0,01;0,03;0,07;0,08;0,03;0,05;0,01;0;0,01;0,01;0,04;0,08;0,04;0,01;0;0;0;0,01;0;0,04;0,01;0;0,03;0;0;0;;0,79
"Spela""""";0;0;0;0;0;0;0,04;0;0,03;0,03;0,01;0,01;0,04;0,04;0,04;0,03;0,03;0;0;0,03;0,01;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;;0,36
"SSLad""""";0,03;0,03;0,04;0;0,05;0,01;0;0;0;0;0;0;0;0;0,03;0,03;0,01;0,03;0,01;0;0;0,01;0,01;0,03;0;0,01;0;0;0;0;0;0,01;0;0;0,01;0;0;0;;0,36
"SSLjuv""""";0,03;0,03;0;0,04;0,04;0,01;0,01;0;0;0;0,01;0,01;0;0;0,03;0,01;0,01;0,03;0,01;0;0;0,01;0;0,03;0,01;0;0,01;0;0;0;0;0,01;0;0;0;0;0;0;;0,36
"SSLpup""""";0,03;0;0,03;0,03;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,11
"Szoopl""""";0;0;0,01;0,01;0,03;0,03;0,03;0,03;0,05;0,04;0,04;0,05;0,05;0,05;0,09;0,13;0;0,03;0,03;0,01;0,03;0,01;0,07;0,05;0,01;0,01;0;0;0,01;0;0;0,03;0,01;0,01;0;0;0;0;;0,96
"ToothWhale""""";0;0;0,01;0,01;0,04;0;0;0;0;0;0;0,03;0;0;0,03;0,04;0,03;0,04;0,01;0;0;0;0,01;0,04;0,03;0;0;0;0;0;0;0,04;0,01;0;0;0;0;0;;0,37
"TranOrc""""";0;0,03;0,03;0,03;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,11
