"TI3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""Epiph"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""BenthFeed"";""Pisci"";""CatFish"";""Leer"";""DuskyKob"";""Bird"";""Grunter"";""SkipJack"";;SUM
""FreeWat"";"2624173610796280,00";"113501527754801000,00";"86947619738962700,00";"14687080481577000,00";"11685884655111100,00";"2746934338991,55";"4896329917278970,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"76024209110,08";"648955736323,73";"0,00";"0,00";"1895925888084,06";"6133006472301,61";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"234354117005172000,00"
""AttWat"";"11182112322719,10";"1034325345402500,00";"951365580948202,00";"162544497534685,00";"496774622035798,00";"20850527543,58";"60675683789926,00";"0,00";"421230688170,14";"57766056887120,60";"1754966290586,88";"4232437742386,40";"32396541000035,40";"3375408576,53";"826888797825,69";"0,00";"2595822945294,93";"1340639410,26";"12300033040,64";"127477197479594,00";"2275578922217,31";"3896221595454,15";"16759427335051,80";"7947591724086,85";"13651143935974,70";"356602644479,93";"1478876535,53";"129085160247,75";;"2989393980667470,00"
""SedBaci"";"284107459687,73";"402949680,92";"7004776781146,96";"1024154656728,03";"820232397032225,00";"2117531246,05";"18983203281382,50";"100402546939798000,00";"43511238196664600,00";"858215958648181000,00";"35693760150651200,00";"491512853582819000,00";"6937871141345120,00";"401968898417456000,00";"431251830127916000,00";"486659152,10";"0,00";"24600066081,28";"990032629726721,00";"17069960299088800,00";"1829392310346890,00";"27763019938629,90";"890825612439740,00";"43360858982250,40";"109869934247896,00";"266111083315157,00";"507231840747,52";"40727574,22";;"2391570336471900000,00"
""CarnMac"";"3300825152226240,00";"4405659502180,92";"23973516909961,60";"15173788197541,80";"2368307000328780,00";"23023804371,62";"330072351782011,00";"33312895550328700,00";"823754546023430000,00";"16357573838684800000,00";"676231983579963000,00";"9536956639326820000,00";"131188790273792000,00";"7617309645557060000,00";"8172427337047020000,00";"81661397,11";"0,00";"286823694329086,00";"19203705336474900,00";"4576936329853450,00";"60338204069830500,00";"70251391583803,40";"31386712441816600,00";"132981178960851,00";"401351810047842,00";"1412913959246680,00";"5813989513743220,00";"555807962867,54";;"43478422882151400000,00"
""BenthFeed"";"227433952607382,00";"27949738943979000,00";"25806075769557200,00";"4413917117398220,00";"17187555548867900,00";"559280728146,16";"1648362679363260,00";"576360628038412000,00";"65581712462567900,00";"1291849878494030000,00";"53769002694650900,00";"735766329616720000,00";"11355609098308200,00";"604615730876334000,00";"648689875696128000,00";"2441803955,36";"28438888321260,90";"8533420958314,91";"3430110581900410,00";"100563673449718000,00";"3707270368364560,00";"241907482609291,00";"1882097516323190,00";"419006064582534,00";"899048815491041,00";"1602353563921960,00";"176659584874158,00";"11824491356625,10";;"4178193336939880000,00"
""Pisci"";"378646040381366,00";"192855492653808,00";"178635464515982,00";"49249020041951,60";"28933568908722,20";"29104239340,62";"42638382617069,20";"969248185988950,00";"1047229831395150,00";"20807627393164400,00";"860206445550203,00";"12131802723707900,00";"168340975748011,00";"9689925746851870,00";"10411585772105400,00";"8013497,50";"55197058250714,50";"8766498589771,84";"31233397430958,70";"70251391583803,40";"145144489565575,00";"171455677616,37";"62752707214121,60";"527749742849,29";"2342880933916,84";"45022804659430,40";"177074366646050,00";"885600698593,79";;"57556324556877000,00"
""CatFish"";"243174038540060,00";"3359392662741150,00";"3096243089827630,00";"527645599886768,00";"2308705123268410,00";"67302949909,09";"204261329362672,00";"102043398820411000,00";"122234849722445,00";"2381927642970940,00";"73691565076552,10";"1912479988307960,00";"142386198561372,00";"677194095952854,00";"744195545712420,00";"120567209,71";"0,00";"20949284168814,70";"556766007774837,00";"17437062467675900,00";"627365838774397,00";"34862615118956,50";"260389610015050,00";"52591921953771,30";"120711680961725,00";"369200617010647,00";"423788648188465,00";"434779572282,44";;"137741121445074000,00"
""Leer"";"231075127624862,00";"40138498808083,00";"35885007166151,30";"11565926165977,40";"13044371200095,50";"12433250907,31";"47890966965135,20";"1156929586037900,00";"18877675347868200,00";"371594658767371000,00";"15545867330514300,00";"209448984578796000,00";"3013836966769960,00";"175120740372772000,00";"188065487868755000,00";"66573821,53";"0,00";"11921387586130,30";"32520644236687,80";"88654119307234,10";"167602425833014,00";"351833161899,53";"63110306344525,50";"3748460618543,69";"5269785133432,14";"57817186711105,50";"245245472683795,00";"233246116964,50";;"983880268084373000,00"
""DuskyKob"";"3415359895813590,00";"1507501852341880,00";"1299412561594130,00";"368891427414088,00";"321933272979916,00";"383832894727,83";"586232939528889,00";"4706957827080380,00";"48464705679206300,00";"954383604225254000,00";"39908256048201400,00";"538643236501531000,00";"7758240140946980,00";"449552321854523000,00";"482810606236465000,00";"43766186,84";"0,00";"34127859839936,70";"137337417809870,00";"445946455608713,00";"599365876994027,00";"2603201037685,37";"241423361923449,00";"8782975222386,91";"12557805938858,90";"167386305212894,00";"694435859904389,00";"68567948591,28";;"2536071680026980000,00"
""Bird"";"5278750809930940,00";"7742991621997740,00";"6966617964886950,00";"1439507446397800,00";"3163492540940430,00";"764165853231,81";"1182293410132360,00";"39635582148,23";"14060029003575100,00";"278115771702270000,00";"11561268053834500,00";"159262218509571000,00";"2452730757681070,00";"130115473035726000,00";"139640071939693000,00";"0,00";"0,00";"445753305599,92";"166319427071973,00";"784952199581487,00";"534117854640654,00";"25012669255239,10";"369200617010647,00";"48180988925921,20";"83693152606446,90";"3222730996,41";"87104515939,99";"447092105,83";;"762994034034810000,00"
""Grunter"";"65747164541,52";"15059065761565100,00";"13841910940027900,00";"2351600190990940,00";"7499528824643620,00";"288446435089,72";"879812939800890,00";"113145065482292,00";"106715116255282,00";"2840702234617810,00";"108749494268189,00";"1169303555521100,00";"514108275625401,00";"925133470733820,00";"1004353708889490,00";"64251554,00";"0,00";"1109157401,65";"190211940280,32";"1937996504581070,00";"35331916974831,50";"59024788882016,70";"254273188913079,00";"122622736341898,00";"208330757971317,00";"52262709564,00";"21247665423,19";"17204989935,00";;"49032345766399900,00"
""SkipJack"";"382494757041861,00";"159812430621273,00";"135948722998150,00";"41644262172608,90";"22140072981123,00";"47672812911,21";"61493237997418,20";"0,00";"174346118,22";"1754175209071,52";"726375283,11";"510579521103,01";"1686336344995,56";"12125535647,78";"3031076502184,03";"0,00";"0,00";"32271290061,94";"5090946,78";"61756440318,62";"788299423775,01";"98400077621,53";"86955914456,49";"38874352827,42";"6856794859,13";"89418421,17";"5734996645,00";"32396020,83";;"811695626655702,00"

