"TI3";""Lgroup"";""Lshark"";""Lfishc"";""Crus"";""Scom"";""Ceph"";""Seabird"";""Sschool"";""Lschool"";""Plongi"";""Pescul"";""Sfisho"";""Mende"";""Bmoll"";""Fishh"";""Zoopl"";""Prown"";""Echino"";""Sess"";""Phyto"";""Benthau"";""Decomp"";""Turtle"";;SUM
""Prown"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Echino"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Sess"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Phyto"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";;"0,00"
""Benthau"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";;"0,00"
""Decomp"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";;"0,00"
""Turtle"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";;"0,00"


"WI3";""Lgroup"";""Lshark"";""Lfishc"";""Crus"";""Scom"";""Ceph"";""Seabird"";""Sschool"";""Lschool"";""Plongi"";""Pescul"";""Sfisho"";""Mende"";""Bmoll"";""Fishh"";""Zoopl"";""Prown"";""Echino"";""Sess"";""Phyto"";""Benthau"";""Decomp"";""Turtle"";;SUM
""Lgroup"";"186,93";"12269,72";"366869,27";"590512,17";"294256,82";"99532,77";"3635,57";"1101084,43";"164023,35";"32479,08";"81656,80";"380647,74";"43116,73";"948440,31";"13292190,16";"7145550,77";"42545,58";"1290212,86";"5717384,12";"11206411,04";"14437000,05";"4242905,36";"1698,88";;"61494610,53"
""Lshark"";"69528,41";"381900,38";"13131167,21";"45007455,80";"5690918,29";"3600808,74";"216611,55";"84969771,88";"11443485,77";"1488791,94";"2595787,79";"25821494,36";"3650120,72";"95735461,37";"1436934256,33";"441228589,72";"1580101,45";"132372670,04";"570189137,90";"823896160,47";"261691897,48";"256252311,23";"162430,11";;"4218110858,96"
""Lfishc"";"2078925,87";"13131167,21";"1151459821,23";"3750407955,38";"858430029,77";"60809150,09";"8209468,97";"1123823161,53";"187869616,28";"63305255,09";"121007853,83";"2105580862,41";"119464533,83";"7999352954,12";"140129327455,48";"54359531517,76";"54907073,44";"12100340335,71";"50593178765,23";"10939116651,53";"40887038286,77";"4692845382,63";"15560192,15";;"331336776416,33"
""Crus"";"4133585,21";"55597445,40";"4632856886,06";"5919900161,28";"5283239641,80";"810634607,72";"44801700,03";"25617695672,87";"3285530952,47";"327025265,17";"759697957,49";"2666662134,69";"814626395,03";"8918932044,57";"45162778250,18";"156454074756,68";"292734131,85";"6400867653,94";"45185674834,45";"261587291188,50";"259669042990,04";"83354866668,60";"9006013,22";;"917257670937,25"
