TI3;"Cet""""";"Jcod""""";"JSilvHake""""";"RedFish""""";"TranMack""""";"DemPisc""""";"JDemPisc""""";"LDemFish""""";"JLDemFish""""";"Sandl""""";"SPela""""";"Squid""""";"LZP""""";"SZP""""";"GreySeal""""";"Acod""""";"ASilvHake""""";"Hadd""""";"Plai""""";"Flou""""";"Skate""""";"Poll""""";"SDemFish""""";"Cape""""";"SCrab""""";"Polych""""";"BivalvMollu""""";"OBI""""";"Bird""""";"SMesoPel""""";"Shri""""";"Echino""""";"AHal""""";"DogFish""""";"LCrab""""";"TranPel""""";"JHal""""";"Phyto""""";;SUM;
"LZP""""";0,01;0,2;0,12;0,08;0;0,01;0,07;0,01;0,03;0,2;0,11;0,09;0;0,09;0,13;0;0,05;0,07;0,03;0,04;0;0,05;0,17;0,03;0,09;0,03;0,03;0,11;0,01;0;0,3;0,01;0,01;0;0;0,03;0;0;;2,2;0,0731
"OBI""""";0;0,11;0,05;0,04;0;0;0,04;0,01;0,01;0,11;0,07;0,05;0,11;0,03;0,08;0;0,01;0,05;0,03;0,03;0;0,01;0,07;0;0,08;0,03;0,01;0;0;0;0,12;0,01;0,01;0;0;0,01;0;0;;1,17;0,0389
"Phyto""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"Plai""""";0;0,04;0,04;0,03;0;0;0,01;0,03;0,05;0,07;0,05;0,04;0,03;0;0,03;0,01;0;0,05;0;0,08;0;0,01;0,04;0,01;0,05;0;0;0,03;0,03;0;0,05;0;0;0;0;0,01;0,03;0;;0,82;0,0272
"Poll""""";0;0,03;0,05;0,04;0;0;0;0;0;0,04;0,04;0,04;0,05;0,03;0,03;0;0,03;0,03;0,01;0,01;0;0;0,01;0,01;0,01;0;0;0,01;0,01;0;0,04;0;0;0;0;0,01;0;0;;0,54;0,0179
"Polych""""";0;0,01;0;0;0;0;0,01;0;0;0,01;0;0;0,03;0,01;0,01;0;0;0;0;0;0;0;0;0;0,03;0;0,01;0,03;0;0;0,03;0,01;0,01;0;0;0;0;0;;0,21;0,0070
"RedFish""""";0;0,07;0,11;0;0;0,01;0,03;0,03;0,05;0,09;0,11;0,11;0,08;0,05;0,03;0;0,05;0,07;0,03;0,04;0;0,04;0,05;0,04;0;0;0;0,04;0,01;0,01;0,08;0;0;0,01;0;0,03;0;0;;1,25;0,0415
"Sandl""""";0;0,17;0,12;0,09;0;0,01;0,05;0,04;0,07;0;0,13;0,12;0,2;0,05;0,09;0,01;0,04;0,11;0,07;0,08;0;0,04;0,17;0,01;0,11;0,01;0;0,11;0,01;0;0,24;0;0,01;0;0;0,01;0,01;0;;2,18;0,0724
"SCrab""""";0;0,11;0,03;0;0;0;0,08;0,03;0,04;0,11;0,04;0,03;0,09;0,01;0,09;0,01;0;0,07;0,05;0,05;0;0,01;0,09;0;0;0,03;0,01;0,08;0,03;0;0,13;0,01;0,01;0;0;0;0,03;0;;1,26;0,0418
"SDemFish""""";0;0,17;0,07;0,05;0;0;0,04;0,04;0,05;0,17;0,07;0,07;0,17;0,04;0,11;0,01;0,03;0,11;0,04;0,05;0;0,01;0;0,01;0,09;0;0,01;0,07;0,03;0;0,18;0;0;0;0;0;0,03;0;;1,71;0,0568
"Shri""""";0,01;0,22;0,12;0,08;0;0;0,08;0,01;0,04;0,24;0,13;0,11;0,3;0,07;0,13;0;0,04;0,11;0,05;0,07;0;0,04;0,18;0,01;0,13;0,03;0,03;0,12;0;0;0;0,01;0,01;0;0;0,03;0;0;;2,39;0,0794
"Skate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"SMesoPel""""";0;0;0,01;0,01;0;0;0,01;0;0,01;0;0,01;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;;0,12;0,0040
"SPela""""";0,01;0,11;0,12;0,11;0;0,01;0,04;0,03;0,07;0,13;0;0,12;0,11;0,05;0,05;0;0,04;0,09;0,05;0,07;0;0,04;0,07;0,03;0,04;0;0;0,07;0;0,01;0,13;0;0;0,01;0;0,03;0;0;;1,62;0,0538
"Squid""""";0;0,09;0,11;0,11;0;0,01;0,03;0,03;0,05;0,12;0,12;0;0,09;0,05;0,03;0;0,04;0,09;0,04;0,04;0;0,04;0,07;0,03;0,03;0;0;0,05;0,01;0;0,11;0;0;0;0;0,03;0;0;;1,39;0,0462
"SZP""""";0,01;0,04;0,05;0,05;0;0,01;0,01;0,01;0,01;0,05;0,05;0,05;0,09;0;0,05;0;0,03;0,03;0;0;0;0,03;0,04;0,01;0,01;0,01;0,01;0,03;0,01;0;0,07;0;0,01;0;0;0,03;0;0;;0,83;0,0276
"TranMack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0,0000
"TranPel""""";0,01;0,01;0,03;0,03;0;0;0;0;0;0,01;0,03;0,03;0,03;0,03;0,01;0;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0;0;0;0,01;0,01;0;0,03;0;0;0;0;0;0;0;;0,34;0,0113
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30,11;1
