TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"BenthFeed""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"SkipJack""""";"Grunter""""";"Leer""""";"DuskyKob""""";"CatFish""""";"Bird""""";;SUM;;;
"Herb""""";3,3826E+15;6,9607E+14;2,41915E+15;2,41711E+16;8,82185E+16;3,31366E+11;3,8491E+15;8,82679E+19;4,89324E+16;1,15133E+17;1,17047E+17;2,32679E+17;4,41491E+16;3,1047E+15;1,76732E+17;4,91996E+17;6,32067E+12;0;1,74319E+14;5,8103E+16;3,296E+18;6,53247E+16;1,5319E+16;6,66633E+16;3,33915E+16;1,47126E+17;2,24831E+16;1,34439E+17;;93459397708227200000,00;;;
"Leer""""";1,44849E+14;1,87793E+13;2,71723E+13;1,69849E+13;2,59098E+13;459108964,7;2,42153E+13;1,04189E+14;4,99034E+14;1,03996E+16;4,66131E+15;2,5928E+16;9,76197E+14;3,50855E+14;1,00174E+16;1,34645E+15;2113,13;0;10662295700;3,78282E+11;2,82349E+13;4,81277E+12;7,15146E+11;3,79531E+12;11239224,93;1,0205E+12;1,54711E+11;3047486757;;54580095427195200,00;;;
"MeioFau""""";2,08329E+13;1,51919E+11;6,4961E+13;8,65417E+14;3,16624E+15;11441773965;1,28979E+14;3,08623E+18;3,10396E+15;3,31347E+16;1,71619E+16;8,06879E+16;4,28244E+15;1,09105E+15;3,42527E+16;2,08925E+16;2,20414E+11;0;1,88788E+12;2,0329E+15;1,15374E+17;2,29559E+15;5,36505E+14;2,33191E+15;1,16441E+15;5,13473E+15;7,8011E+14;4,68346E+15;;3419422779511210000,00;;;
"MicroZoopl""""";2,34868E+18;8,71547E+16;1,1329E+17;1,76243E+17;5,80057E+15;4,56672E+12;2,86941E+17;1,16811E+15;86810895997;6,99392E+13;2,37694E+14;2,77517E+12;1,11165E+14;0;2,78428E+14;8,75648E+15;0;4,64115E+17;1,30732E+15;9,8491E+11;3,2698E+14;1,41649E+15;8,5371E+14;3,37945E+15;2,5039E+13;2,64893E+14;1,77156E+15;6,88767E+15;;3509089241149050000,00;;;
"Mysid""""";1,32437E+18;3,96547E+17;6,21137E+17;1,72305E+17;4,31224E+16;3,09649E+12;1,86284E+17;9,33065E+15;1,11268E+15;2,28054E+16;1,01209E+16;5,69056E+16;2,19069E+15;7,61298E+14;2,1754E+16;9,365E+15;3755083080;2,09312E+17;7,78968E+14;4,29823E+13;1,41311E+14;1,34091E+15;7,43731E+14;2,02598E+15;5,09547E+13;3,90741E+14;1,0573E+15;5,63621E+15;;3099631791236460000,00;;;
"Phyto""""";2,68159E+17;3,52302E+18;6,05365E+18;8,8291E+17;4,3063E+17;4,35468E+12;2,12443E+17;8,61868E+15;1,78568E+13;6,40255E+14;1,75495E+15;4,9831E+13;1,13694E+15;9,21986E+12;2,02956E+15;6,20182E+15;0;4,67739E+16;8,3333E+13;7,26695E+12;2,41064E+15;6,408E+15;2,09439E+15;2,72896E+14;2,89697E+14;2,86951E+15;3,99893E+13;2,72834E+16;;11479807654502300000,00;;;
"Pisci""""";9,612E+15;3,1871E+15;5,36075E+15;1,34091E+15;5,1266E+14;24677642862;1,42034E+15;7,85511E+15;2,95147E+15;6,12131E+16;2,73488E+16;1,52712E+17;5,73714E+15;2,06004E+15;5,87923E+16;8,44329E+15;2660542365;1,07139E+15;3,22133E+13;3,41278E+13;2,26169E+14;5,84819E+13;1,46961E+13;1,35096E+14;1,44383E+13;6,94067E+13;5,4707E+13;1,77862E+14;;350436022224797000,00;;;
"SedBaci""""";9,68927E+12;1,96982E+12;4,37119E+12;3,82065E+13;1,47683E+14;538093622,4;9,38506E+12;1,66138E+16;2,32332E+15;4,83076E+16;2,16443E+16;1,20449E+17;4,54424E+15;1,6275E+15;4,64824E+16;6,33617E+15;190123475,3;0;5,05408E+11;2,13828E+13;8,28838E+14;3,03358E+13;5,07255E+12;2,76064E+13;1,00875E+12;1,42849E+13;4,99841E+12;2,64889E+13;;269499967308006000,00;;;
"SkipJack""""";2,79252E+15;1,70742E+15;3,05523E+15;6,61094E+14;2,45922E+14;6530855368;3,96341E+14;9,05446E+14;6,13148E+14;1,27473E+16;5,70316E+15;3,17936E+16;1,19689E+15;4,29239E+14;1,22552E+16;1,72057E+15;317050639,3;7,43135E+14;4,26465E+12;5,07255E+12;4,16414E+13;1,30632E+13;2,72787E+12;1,93791E+13;1,90706E+12;1,08527E+13;7,15944E+12;3,99426E+13;;77112254597997800,00;;;
"Sol""""";4,60993E+12;0;1,8969E+13;2,53766E+14;9,29026E+14;3356503370;3,74459E+13;9,29404E+17;4,67592E+14;2,35657E+14;8,01149E+14;7,95281E+12;3,74679E+14;1166825374;9,3141E+14;5,02892E+15;66414118230;0;4,23816E+11;6,10313E+14;3,47173E+16;6,86679E+14;1,60965E+14;6,97434E+14;3,50855E+14;1,546E+15;2,34471E+14;1,40958E+15;;978909014221104000,00;;;
"SuspFeed""""";7,47465E+13;6,24413E+12;4,32302E+15;5,69056E+16;2,08274E+17;7,52592E+11;8,39372E+15;2,06373E+20;1,03742E+17;5,35522E+16;1,79916E+17;3,54441E+15;8,40644E+16;2,38584E+13;2,09411E+17;1,11483E+18;1,47239E+13;0;4,46844E+12;1,35505E+17;7,71285E+18;1,52712E+17;3,57677E+16;1,54674E+17;7,77839E+16;3,42892E+17;5,19012E+16;3,12566E+17;;217376340155635000000,00;;;
"UpoAfri""""";6,45945E+17;1,30513E+16;1,07001E+16;4,31224E+16;9,76382E+13;1,29216E+12;8,07556E+16;3,60059E+16;4,07088E+15;8,33182E+16;3,68784E+16;2,08274E+17;7,7305E+15;2,78708E+15;7,93967E+16;1,614E+16;13414626127;1,07537E+17;6,06666E+14;1,66143E+14;3,85953E+14;5,1266E+14;2,76663E+14;1,82917E+15;7,77294E+13;3,76755E+14;9,02931E+14;2,98697E+15;;1383933176410370000,00;;;
"ZooplEater""""";3,89479E+17;7,89087E+17;1,40433E+18;2,2768E+17;9,87013E+16;1,58295E+12;8,82607E+16;5,60849E+15;2,02682E+14;4,18531E+15;2,09543E+15;1,0259E+16;5,13073E+14;1,37302E+14;4,23401E+15;3,29141E+15;945026507,7;7,19828E+16;2,52714E+14;1,29045E+13;4,77184E+14;1,73597E+15;5,44969E+14;6,82755E+14;8,87893E+13;8,29211E+14;3,38695E+14;8,74105E+15;;3113750465154660000,00;;;
