TI3;"ProdPrim""""";"Zoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scall""""";"Lobs""""";"Sdemers""""";"Pil""""";"Cepha""""";"CarnZoopl""""";"Sgado""""";"Mull""""";"Sole""""";"Gurna""""";"Whit""""";"Cod""""";"RayDogFish""""";"Poll""""";"JohnDo""""";"Sande""""";"Herr""""";"Sprat""""";"Mack""""";"Scad""""";"BaskSha""""";"Bird""""";"Jbass""""";"Jplai""""";"Jwhit""""";"DepoFeed""""";"Whelk""""";"Plai""""";"Dab""""";"OFlatFish""""";"LBottFish""""";"Bream""""";"Bass""""";"Jcod""""";"Crab""""";"CommCrab""""";"Hake""""";"Seal""""";"ToothCet""""";"OvWint""""";"Sha""""";"Jsole""""";;SUM
"RayDogFish""""";0,08;0,31;0,1;0,22;0,08;0,19;0,03;0,06;0,36;0,07;0,18;0,01;0,09;0,02;0,02;0;0,22;0,19;0;0,06;0,02;0,09;0,14;0,08;0,03;0,11;0;0,05;0;0;0,07;0,44;0,03;0,01;0,02;0,04;0,23;0,05;0,01;0;0,24;0;0,09;0,1;0,11;0,08;0,02;0;;4,41
"Sande""""";0;0,07;0;0,03;0;0;0;0;0,07;0,01;0,04;0,01;0,02;0,01;0;0;0,05;0,06;0,09;0,02;0;0;0,07;0,03;0,01;0,02;0;0,02;0;0;0,02;0,09;0;0,01;0;0,01;0,04;0,01;0,01;0;0,05;0;0;0,04;0,03;0,03;0;0;;1,01
"Scad""""";0,03;0,09;0,01;0,05;0,02;0,04;0;0,02;0,1;0,03;0,05;0;0,05;0,01;0;0;0,07;0,04;0,11;0,02;0,01;0,02;0,04;0,04;0,01;0;0;0,01;0;0;0,03;0,11;0,01;0;0,02;0,02;0,06;0,04;0;0;0,07;0;0,02;0,01;0,03;0,03;0;0;;1,38
"Scall""""";0,03;0,03;0,01;0,03;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0;0;0,02;0;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0,03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,25
"Sdemers""""";0,05;0,25;0,1;0,22;0,08;0,19;0,01;0,06;0;0,04;0,16;0,01;0,09;0,02;0;0;0,23;0,18;0,36;0,06;0,01;0,07;0,1;0,05;0,01;0,1;0;0,02;0;0;0,07;0,4;0,03;0,01;0,02;0,04;0,23;0,05;0,01;0;0,25;0;0,07;0,08;0,07;0,05;0;0;;3,9
"Seal""""";0;0,03;0,02;0,02;0,01;0,02;0;0;0,08;0;0,06;0,01;0,04;0,01;0;0;0,04;0,06;0,1;0,03;0;0,04;0,04;0,01;0;0,01;0;0,02;0;0;0,02;0,08;0;0,01;0;0,01;0,09;0,01;0,01;0;0,04;0;0,02;0;0,05;0,04;0,02;0;;1,09
"Sgado""""";0,02;0,06;0,02;0,05;0,02;0,05;0;0,02;0,09;0,01;0,03;0;0;0,01;0;0;0,06;0,04;0,09;0,03;0,01;0,02;0,05;0,02;0;0,05;0;0;0;0;0,05;0,09;0,01;0;0,02;0,02;0,08;0,03;0;0;0,07;0;0,03;0,04;0,03;0,02;0;0;;1,29
"Sha""""";0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0,01;0,02;0,02;0,02;0;0;;0,15
"ShriPrawn""""";0,04;0,18;0,03;0;0,03;0,13;0,03;0,03;0,22;0,02;0,06;0;0,05;0,01;0,02;0;0,15;0,09;0,22;0,02;0;0,03;0,06;0,02;0;0,05;0;0;0;0;0,05;0,24;0,01;0;0,01;0,01;0,13;0,01;0;0;0,18;0;0,04;0,02;0,02;0;0;0;;2,22
"Sole""""";0,02;0,02;0;0,02;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,13
"Sprat""""";0,01;0,09;0;0,02;0;0;0;0;0,05;0,05;0,01;0;0,02;0;0;0;0,06;0,04;0,08;0,02;0,02;0,03;0,05;0;0,02;0,04;0;0,02;0;0;0,02;0,09;0;0;0;0;0,02;0,01;0;0;0,03;0;0,04;0,01;0,04;0,03;0;0;;0,96
"SuspFeed""""";0,04;0,05;0;0,03;0,06;0,09;0,01;0,04;0,1;0,02;0,04;0;0,02;0,01;0;0;0,03;0,03;0,1;0,02;0;0;0;0;0;0,01;0;0;0;0;0;0,1;0,02;0;0,01;0,02;0,04;0,02;0;0;0,03;0;0,02;0,02;0,03;0;0;0;;1,05
"ToothCet""""";0,01;0,07;0,03;0,02;0,01;0,02;0;0;0,07;0,03;0,07;0;0,03;0,02;0;0;0,04;0,05;0,11;0,02;0,01;0,03;0,04;0,04;0,03;0,03;0;0,04;0;0;0,02;0,09;0;0;0;0;0,06;0,02;0;0;0,04;0;0,04;0,05;0;0,04;0,02;0;;1,25
"Whelk""""";0,03;0;0,02;0,01;0,03;0,03;0;0,03;0,03;0;0;0;0,01;0;0;0;0,02;0,01;0,03;0;0;0;0;0;0;0,01;0;0;0;0;0;0,03;0;0;0,01;0,02;0,01;0,02;0;0;0,02;0;0;0;0;0;0;0;;0,39
"Whit""""";0,02;0,17;0,03;0,15;0,02;0,1;0;0,02;0,23;0,02;0,09;0,01;0,06;0;0;0;0;0,16;0,22;0,05;0,02;0,05;0,09;0,06;0,02;0,07;0;0,03;0;0;0,07;0,24;0,02;0,01;0,01;0,03;0,16;0,03;0,01;0;0,16;0;0,07;0,04;0,04;0,03;0;0;;2,64
"Zoopl""""";0,05;0;0,05;0,18;0,02;0,09;0,03;0,02;0,25;0,07;0,1;0,01;0,06;0,01;0,02;0;0,17;0,15;0,31;0,04;0,02;0,07;0,11;0,09;0,03;0,09;0;0,04;0;0;0,06;0,32;0;0;0,01;0,01;0,14;0,02;0,01;0;0,18;0;0,08;0,03;0,07;0,03;0;0;;3,08
