TI3;"Herr""""";"LizFish""""";"SpanMack""""";"KingMack""""";"Jack""""";"CatFish""""";"Shri""""";"MicroCrus""""";"Ofish""""";"Anne""""";"Zoopl""""";"BenthProd""""";"Anch""""";"Trout""""";"Mollu""""";"Mojar""""";"Sha""""";"RedGroup""""";"Crab""""";"Gru""""";"Flou""""";"RedSnap""""";"Phyto""""";;SUM;;;
"Crab""""";252512970,2;451651,41;36746421,05;47511850,28;9044049,58;9059333,05;788773558,1;6471694064;267750446,3;1970116855;14866501438;837152798;149667760,4;3726429,22;1713607339;238386727,2;1596141,49;1692505,03;50902883,11;262105911,4;8027019,26;18898516,59;6834171983;;34840098650,86;;;
"Flou""""";9505089,5;16812,44;2155663,88;2869549,29;415910,29;623266,12;55578812,41;508445159;11427320,52;50974697,26;1141072717;73063599,85;5585037,91;123696,72;126295416;6467980,4;83331,49;84748,72;3087315,1;15539373,74;231113,25;1426114,77;282846777,7;;2297919503,48;;;
"Gru""""";989260596,8;2058535,64;169772131,3;224591716,5;39143247,02;34137951,3;2889422400;54447606556;1035149013;8037286066;1,35154E+11;2960606821;586177368,3;14563803,79;14909132461;954560605,9;8604684,65;7650690,83;201619931,8;967312584,7;31078747,48;117633076,9;26713742750;;250495224224,21;;;
"Herr""""";712631198,3;2351695,24;203002310,6;271342449,4;39766339,09;40979845,34;3599791878;83147082320;853269910,3;4196594844;2,06322E+11;4633580570;424610455,9;11096250,29;22084477097;607044186;7904360,69;6961398,22;213664820,9;1088186656;20911196,91;136151472,4;20797217202;;349420710736,62;;;
"Jack""""";46996582,56;41904,9;2021409,6;1324464,44;249124,88;2152029,82;173082683,1;483325490,2;39234341,21;174454744;793272564,8;188158281,8;25770679,32;648126,19;114312538;35957542,92;625165,49;118830,73;9044049,58;50886221,12;1081366,77;3366101,14;1600651908;;3746776150,24;;;
"KingMack""""";148004972,4;122116,24;5469125,47;3599272,83;611291,28;5757756,6;399688778,1;434461957,1;121154451,5;498343464,1;90061637,26;401807499,2;88787299,88;2070345,38;80328294,76;112341193,5;2184924,37;227143,28;21928546,28;134755029,9;3443459,15;5094111,45;5457930270;;8018172940,14;;;
"LizFish""""";1282742,86;1067,05;108368,6;122116,24;19340,72;57101,77;3096185,35;30866108,72;1062344,09;4112655,57;70251023,02;3549137,07;823476,65;18005,46;8473794,45;1035278,82;20254,21;6027,45;208454,5;1235121,39;20174,92;121028,08;58844542,88;;185334349,88;;;
"MicroCrus""""";1,05824E+11;72020920,35;1946414011;1013744567;520504374;3819571696;47080328244;1,81197E+11;75949638299;2,03435E+11;2,67849E+11;15893580677;74570158277;1797122522;1,11142E+11;1,03685E+11;41879636,51;38802682,75;6969516684;76226649179;1423646445;563370388,9;6,55444E+12;;7835498986632,77;;;
"Mojar""""";607044186;1898011,16;163606768,7;205958854,8;30425613,24;41804655,97;3554691269;81466955272;689407271,2;2456178515;2,01626E+11;4749583878;347207135,6;9511262,72;21646193598;493314326,7;8576249,14;6118695,38;201711846,1;1050016666;14229556,87;145196055,4;20700140431;;340216228012,97;;;
"Mollu""""";20076797361;14122990,75;348361107,5;133880491,3;87932721,51;751371014,5;9276736922;79387235424;14245208857;30970849639;1,64556E+11;4597552921;14211714815;345101601,4;33080868598;19678357816;5180017,21;4149332,3;1318159491;14909132461;252590831,9;124034904,4;1,27544E+12;;1683816994928,47;;;
"Ofish""""";853269910,3;1947630,83;174062623,1;222116494,3;33198288,72;43711672,64;3933804459;59674715806;943455811,1;5190157487;1,44461E+11;4736027636;491208307,7;12249766,32;15669729743;689407271,2;8439949,6;6368668,21;226558070;1138663914;25140105,14;123852640,9;23223828834;;261882421975,97;;;
"Phyto""""";5671968328;29422271,44;2122871019;2728965135;369381209,5;312577884,6;23407512863;1,40452E+12;6333771500;26334204579;3,60947E+12;29560370556;3513814905;105494692,7;3,82632E+11;5645492845;93750997,96;62139507,61;1577116612;8014122825;169708066,6;1777246871;2,0293E+11;;5717384878609,13;;;
"RedGroup""""";5695689,45;9041,17;491468,45;340714,92;82267,43;270390,92;22449029,72;24944581,77;5210728,53;24192491,25;5718171,88;25105475,14;3114884,64;88968,17;3734399,07;5006205,31;64182,31;22844,54;1171734,25;6885621,75;152547,69;521089,22;186418522,8;;321691050,41;;;
"RedSnap""""";99019252,67;161370,78;6546097,95;6792148,6;2071446,85;3486611,06;153611030,2;321925936,5;90074647,92;393033522,8;433619333,3;159689481;65812126,31;1779790,91;99227923,51;105597131,2;1011381,08;463190,42;11629856,36;94106461,52;2281783,63;1006783,69;4739324988;;6792272296,40;;;
"Sha""""";7185782,45;33757,01;2895339,02;3641540,62;480896,53;359656,36;18464899,6;29914026,08;7672681,46;36013845,97;13513533,09;23242713,7;4892446,59;131200,68;5180017,21;7796590,13;76916,77;71313,67;1227801,14;8604684,65;166662,98;1264226,35;312503326,5;;485333858,60;;;
"Shri""""";5890568528;9288556,04;855838019,6;1199066334;239652945,9;162061752,3;14734860893;60531850600;6437134569;56452932991;1,22575E+11;13970342685;3571676228;83579093,82;16698126460;5816767530;33236819,27;44898059,43;1092148004;5200960320;200083724,7;345624817,8;1,40445E+11;;456590347182,17;;;
"SpanMack""""";184547555,1;180614,34;9043873,83;9115209,12;1554930,46;7113021,81;475465566,4;1390295722;158238748,3;684246583,1;2362951958;482753581,2;112635918,1;2674496,89;348361107,5;148733426,1;2895339,02;546076,06;28266477,73;169772131,3;4311327,75;8182622,44;7076236730;;13668123016,42;;;
"Trout""""";11096250,29;33010,01;2941946,57;3795633,2;548414,47;644596,47;51076112,89;1412024839;12249766,32;56148746,36;3531225936;65646882,77;6689534,83;171360,29;379611761,5;9511262,72;144320,74;108738,88;3153132,42;16020184,17;272132,78;2447212,49;386813873,2;;5952375648,79;;;
"Zoopl""""";2,62592E+11;163919053,7;3308132741;210143820,3;854293531,3;9708475419;95335777502;2,67849E+11;1,83859E+11;3,89972E+11;2,04034E+11;22886337676;1,86628E+11;4494287555;2,30379E+11;2,56615E+11;18918946,32;8894934,03;16010078472;1,89216E+11;3195003608;758833833,3;1,68442E+13;;19172290259049,90;;;
