"TI3";""Herr"";""LizFish"";""SpanMack"";""KingMack"";""Jack"";""CatFish"";""Shri"";""MicroCrus"";""Ofish"";""Anne"";""Zoopl"";""BenthProd"";""Anch"";""Trout"";""Mollu"";""Mojar"";""Sha"";""RedGroup"";""Crab"";""Gru"";""Flou"";""RedSnap"";""Phyto"";;SUM
""Phyto"";"5671968327,93";"29422271,44";"2122871019,00";"2728965135,10";"369381209,49";"312577884,55";"23407512862,89";"1404522780938,84";"6333771500,17";"26334204579,41";"3609470070497,68";"29560370555,91";"3513814904,52";"105494692,69";"382632463223,02";"5645492844,69";"93750997,96";"62139507,61";"1577116611,54";"8014122824,85";"169708066,64";"1777246870,56";"202929631282,63";;"5717384878609,13"


"WO3";""Herr"";""LizFish"";""SpanMack"";""KingMack"";""Jack"";""CatFish"";""Shri"";""MicroCrus"";""Ofish"";""Anne"";""Zoopl"";""BenthProd"";""Anch"";""Trout"";""Mollu"";""Mojar"";""Sha"";""RedGroup"";""Crab"";""Gru"";""Flou"";""RedSnap"";""Phyto"";;SUM
""Herr"";"0";"0,00";"0,02";"0,02";"0,00";"0,04";"0,15";"0,15";"0,15";"0,15";"0,15";"0,15";"0,11";"0,02";"0,15";"0,15";"0,00";"0,00";"0,07";"0,15";"0,00";"0,02";"0,15";;"1,83"
""LizFish"";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""SpanMack"";"0,02";"0,00";"0";"0,02";"0,00";"0,00";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,00";"0,02";"0,02";"0,00";"0,00";"0,02";"0,02";"0,00";"0,02";"0,02";;"0,33"
""KingMack"";"0,02";"0,00";"0,02";"0";"0,00";"0,00";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,00";"0,02";"0,02";"0,00";"0,00";"0,02";"0,02";"0,00";"0,02";"0,02";;"0,33"
""Jack"";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""CatFish"";"0,04";"0,00";"0,00";"0,00";"0,00";"0";"0,04";"0,04";"0,04";"0,04";"0,04";"0,04";"0,04";"0,02";"0,04";"0,04";"0,00";"0,00";"0,04";"0,04";"0,00";"0,00";"0,04";;"0,59"
""Shri"";"0,15";"0,00";"0,02";"0,02";"0,00";"0,04";"0";"0,26";"0,15";"0,24";"0,26";"0,26";"0,11";"0,02";"0,26";"0,15";"0,00";"0,00";"0,07";"0,15";"0,00";"0,02";"0,26";;"2,46"
""MicroCrus"";"0,15";"0,00";"0,02";"0,02";"0,00";"0,04";"0,26";"0";"0,15";"0,24";"0,30";"0,26";"0,11";"0,02";"0,26";"0,15";"0,00";"0,00";"0,07";"0,15";"0,00";"0,02";"0,26";;"2,50"
""Ofish"";"0,15";"0,00";"0,02";"0,02";"0,00";"0,04";"0,15";"0,15";"0";"0,15";"0,15";"0,15";"0,11";"0,02";"0,15";"0,15";"0,00";"0,00";"0,07";"0,15";"0,00";"0,02";"0,15";;"1,83"
""Anne"";"0,15";"0,00";"0,02";"0,02";"0,00";"0,04";"0,24";"0,24";"0,15";"0";"0,24";"0,24";"0,11";"0,02";"0,24";"0,15";"0,00";"0,00";"0,07";"0,15";"0,00";"0,02";"0,24";;"2,35"
""Zoopl"";"0,15";"0,00";"0,02";"0,02";"0,00";"0,04";"0,26";"0,30";"0,15";"0,24";"0";"0,26";"0,11";"0,02";"0,26";"0,15";"0,00";"0,00";"0,07";"0,15";"0,00";"0,02";"0,26";;"2,50"
""BenthProd"";"0,15";"0,00";"0,02";"0,02";"0,00";"0,04";"0,26";"0,26";"0,15";"0,24";"0,26";"0";"0,11";"0,02";"0,26";"0,15";"0,00";"0,00";"0,07";"0,15";"0,00";"0,02";"0,26";;"2,46"
""Anch"";"0,11";"0,00";"0,02";"0,02";"0,00";"0,04";"0,11";"0,11";"0,11";"0,11";"0,11";"0,11";"0";"0,02";"0,11";"0,11";"0,00";"0,00";"0,07";"0,11";"0,00";"0,02";"0,11";;"1,39"
""Trout"";"0,02";"0,00";"0,00";"0,00";"0,00";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0,02";"0";"0,02";"0,02";"0,00";"0,00";"0,02";"0,02";"0,00";"0,00";"0,02";;"0,30"
""Mollu"";"0,15";"0,00";"0,02";"0,02";"0,00";"0,04";"0,26";"0,26";"0,15";"0,24";"0,26";"0,26";"0,11";"0,02";"0";"0,15";"0,00";"0,00";"0,07";"0,15";"0,00";"0,02";"0,26";;"2,46"
""Mojar"";"0,15";"0,00";"0,02";"0,02";"0,00";"0,04";"0,15";"0,15";"0,15";"0,15";"0,15";"0,15";"0,11";"0,02";"0,15";"0";"0,00";"0,00";"0,07";"0,15";"0,00";"0,02";"0,15";;"1,83"
""Sha"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""RedGroup"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Crab"";"0,07";"0,00";"0,02";"0,02";"0,00";"0,04";"0,07";"0,07";"0,07";"0,07";"0,07";"0,07";"0,07";"0,02";"0,07";"0,07";"0,00";"0,00";"0";"0,07";"0,00";"0,02";"0,07";;"0,91"
""Gru"";"0,15";"0,00";"0,02";"0,02";"0,00";"0,04";"0,15";"0,15";"0,15";"0,15";"0,15";"0,15";"0,11";"0,02";"0,15";"0,15";"0,00";"0,00";"0,07";"0";"0,00";"0,02";"0,15";;"1,83"
""Flou"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";"0,00";"0,00";;"0,00"
