TI3;"Dolph""""";"PelCoasPisc""""";"Jmack""""";"SardHerr""""";"PelOcePlank""""";"DemCoasOmn""""";"BentCoasInv""""";"SurfPela""""";"StrAssCoasOmn""""";"NeaAssPisc""""";"Mull""""";"NeaPlank""""";"Ofish""""";"Squid""""";"Lobs""""";"Lcrab""""";"Octo""""";"EchinoLGastro""""";"Bivalv""""";"CarnZoopl""""";"Bird""""";"DemCoasPisc""""";"DemCoasInv""""";"Turtle""""";"SessEpiBenth""""";"CarnJelly""""";"MicroAlga""""";"MicroPhytoBenth""""";"Mana""""";"LgOcePisc""""";"CostSha""""";"RaySkate""""";"PelOcePisc""""";"Amack""""";"PelOceJelly""""";"BentCoasPisc""""";"StrAssCoasPisc""""";"LgGroup""""";"StrAssCoasInv""""";"Ashri""""";"LgOcePlank""""";"Scopep""""";"OMesoZoopl""""";"Grass""""";"BentOceInv""""";"SInFau""""";"SMobEpiFau""""";"Stoma""""";"IchthyoPl""""";"DemOceInv""""";"MeioFau""""";"BentOcePisc""""";"StrAssCoasPlank""""";"Phyto""""";"MicroHetero""""";;SUM;
"CostSha""""";0,02;0,03;0,05;0,03;0,03;0,02;0,03;0,02;0,03;0,03;0,02;0,03;0,03;0,03;0,02;0,03;0,04;0,03;0,03;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,03;0,01;0,04;0,02;0,04;0,02;0,04;0,05;0,03;0,03;0,03;0,03;0,03;0,01;0,01;0,01;0,02;0,03;0,03;0,02;0,02;0,01;0,02;0,02;0,02;0,01;0,01;0,01;;1,3;
"RaySkate""""";0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,02;0,02;0,02;0,03;0,02;0,03;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,03;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,86;
"PelOcePisc""""";0,01;0,01;0,04;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0;0,01;0,01;0;0;0,02;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0;0,03;0,01;0,01;0,02;0,03;0,05;0,01;0,02;0,02;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0;0,01;0,01;0,01;0,01;0,01;;0,68;
"Amack""""";0,01;0,02;0,02;0,02;0,03;0,01;0,01;0,04;0,01;0,01;0,04;0,03;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,02;0;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,04;0,02;0,01;0,01;0,02;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;;0,8;
"PelOceJelly""""";0,01;0,02;0,01;0,02;0,02;0;0;0,01;0;0,01;0;0,01;0,01;0,02;0;0;0;0;0;0,02;0,01;0;0,01;0,01;0,01;0,05;0;0;0;0,02;0,02;0;0,04;0,01;0,02;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0;0,03;0;0;0;0;0,01;0,01;;0,51;
"BentCoasPisc""""";0,01;0,01;0,04;0,01;0,01;0,03;0,03;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,01;0,03;0,02;0,02;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,01;0,01;0,01;0,02;0,02;0,03;0,02;0,03;0,01;0,01;0,01;0,01;0,03;0,02;0,02;0,03;0,01;0,02;0,01;0,04;0,01;0,01;0,01;;0,99;
"StrAssCoasPisc""""";0,02;0,03;0,02;0,03;0,03;0,03;0,03;0,05;0,03;0,02;0,02;0,03;0,03;0,03;0,04;0,03;0,04;0,03;0,02;0,02;0,02;0,02;0,03;0,01;0,02;0,01;0,02;0,02;0,01;0,03;0,03;0,02;0,04;0,04;0,02;0,04;0,02;0,03;0,03;0,03;0,02;0,03;0,03;0,02;0,04;0,03;0,03;0,03;0,02;0,02;0,02;0,05;0,05;0,01;0,01;;1,45;
"LgGroup""""";0,02;0,03;0,02;0,03;0,03;0,03;0,03;0,02;0,03;0,02;0,04;0,03;0,03;0,03;0,04;0,03;0,04;0,03;0,02;0,02;0,02;0,02;0,03;0,01;0,03;0,01;0,02;0,02;0,01;0,03;0,03;0,04;0,04;0,02;0,02;0,03;0,03;0,02;0,03;0,03;0,01;0,01;0,02;0,02;0,04;0,02;0,03;0,03;0,01;0,02;0,02;0,04;0,05;0,01;0,01;;1,36;
"StrAssCoasInv""""";0,02;0,03;0,05;0,03;0,02;0,03;0,03;0,02;0,04;0,02;0,02;0,03;0,03;0,03;0,04;0,03;0,04;0,03;0,04;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,01;0,03;0,03;0,02;0,02;0,04;0,02;0,04;0,03;0,03;0,03;0,03;0,02;0,04;0,03;0,06;0,04;0,03;0,03;0,04;0,04;0,05;0,04;0,05;0,02;0,02;0,02;;1,66;
"Ashri""""";0,02;0,03;0,02;0,03;0,03;0,03;0,03;0,02;0,02;0,04;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,04;0,03;0,02;0,03;0,01;0,04;0,03;0,03;0,03;0,03;0,04;0,04;0,04;0,02;0,04;0,03;0,03;0,03;0,02;0,01;0,01;0,02;0,01;0,04;0,03;0,03;0,04;0,01;0,05;0,04;0,05;0,01;0,01;0,01;;1,47;
