"TI3";""MarMamm"";""Cepha"";""LBenthCarn"";""SBenthCarn"";""Clup"";""Anch"";""Shri"";""BenthOmn"";""Lzoopl"";""Sha"";""Lpela"";""LBenthPela"";""MBenthCarn"";""MeioBenth"";""RaySkate"";""SBenthPela"";""CrabLobs"";""HetBenth"";""MicroNekt"";""Mack"";""Tuna"";""MicroZoopl"";""Phyto"";;SUM
""Anch"";"9048759,96";"348478319,91";"340644088,59";"7573325067,76";"27301401147,43";"40085091540,36";"5587436473,47";"2462221338,26";"3514524506586,29";"3218793,79";"11382971,32";"72404141,04";"709190768,41";"21210648685,87";"11211767,20";"1349451210,95";"85251990,96";"308091321673,99";"161121927139,99";"172789288615,92";"45837977,92";"17697716574588,80";"7907870626635,38";;"29869320490283,60"
""Shri"";"2364868,55";"92793167,66";"85773312,03";"1402506295,63";"3178824813,06";"5936651253,06";"273202429,68";"314931938,74";"563080207250,72";"844566,15";"2969914,96";"17681290,23";"63707843,67";"6032097508,93";"3538465,22";"167328492,60";"28391365,27";"34389233491,45";"24544703484,71";"15766170328,83";"12241179,79";"1590233675069,16";"2061129880244,02";;"4306759718574,11"
""BenthOmn"";"639739,10";"14891582,32";"12710847,41";"456953211,06";"737710106,57";"2462221338,26";"296406530,58";"213102579,92";"140186727451,80";"222324,41";"715533,45";"2507488,58";"28347513,02";"3209711053,34";"1620018,39";"44291525,68";"61332221,92";"9081500170,63";"8571666471,53";"1911453386,45";"2048384,41";"209379934757,69";"668118983720,74";;"1044795697957,29"
""Lzoopl"";"135208266,65";"2473974322,36";"2304335206,82";"456847260441,59";"1354252505448,06";"2855551161601,36";"430590746721,14";"113901716054,59";"179693733192687,00";"20671396,72";"176479674,66";"680747284,45";"44275749261,16";"772803190568,30";"175543107,12";"62878422467,44";"2256456024,63";"14831335804199,70";"10359995406061,50";"7192736877083,17";"225810475,97";"752838219294348,00";"536038001367698,00";;"1507053571920400,00"
""Sha"";"1671,02";"32953,39";"25388,49";"188055,53";"354204,30";"2011746,12";"496803,62";"138952,76";"15901074,40";"337,89";"1610,19";"6236,51";"53042,81";"1474120,20";"1145,19";"55445,15";"35316,69";"3568042,20";"4929977,43";"247369,60";"3256,53";"62597912,31";"92284276,50";;"184408938,81"
""Lpela"";"8758,76";"176881,48";"148513,10";"1045914,25";"2671677,71";"9960099,90";"2445812,32";"626091,77";"190055034,25";"2254,26";"9178,31";"31587,13";"257603,71";"3648987,35";"3950,40";"302195,92";"158784,50";"29181591,44";"26637101,99";"9294957,40";"18118,63";"1109892803,75";"522540264,71";;"1909118163,07"
""LBenthPela"";"31677,51";"885364,52";"547767,65";"6532621,58";"13409784,20";"72404141,04";"16641214,33";"2507488,58";"837842811,63";"9978,41";"36099,58";"71252,11";"1637178,97";"8901605,33";"17224,79";"1670358,54";"450588,23";"126071423,75";"191464772,56";"14097534,96";"101188,61";"2759417112,20";"4662739491,70";;"8717488680,79"
""MBenthCarn"";"161005,06";"6765138,54";"6166106,48";"108368605,74";"244787345,81";"531893076,30";"44970242,59";"21260634,77";"40869922394,92";"63651,37";"220803,18";"1227884,23";"6950242,77";"312641224,86";"199567,49";"13995273,91";"1670906,85";"2610183441,31";"2033254543,62";"1131347391,89";"884705,07";"116245007400,83";"152345370554,25";;"316537312141,83"
""MeioBenth"";"2512618,76";"29129981,18";"35218397,97";"2409547916,93";"6574253724,15";"15907986514,40";"4257951182,77";"2407283290,01";"713356791293,81";"1768944,24";"3127703,44";"6676204,00";"312641224,86";"2773948166,37";"1067566,71";"465809031,34";"1045269086,15";"109816525847,32";"51447664325,48";"34371384979,01";"7521019,07";"3684739135245,85";"1796188991898,45";;"6426162206162,28"
""RaySkate"";"1825,48";"21861,51";"40219,13";"776497,57";"1598531,52";"6306619,05";"1873305,11";"911260,35";"121529843,39";"1030,67";"2539,54";"9688,95";"149675,62";"800675,03";"657,10";"184141,34";"424464,16";"30735631,57";"16984108,71";"5135101,04";"3504,24";"626620565,05";"400447866,35";;"1214559612,48"
""SBenthPela"";"281767,34";"9803301,13";"9135789,20";"261361561,50";"532431291,60";"1518132612,32";"177171345,11";"49827966,39";"87062431108,77";"99801,26";"388537,62";"1879153,35";"20992910,86";"698713547,01";"368282,69";"30931619,37";"3768460,56";"5468202724,65";"5304790502,28";"1936851388,35";"1217106,63";"207054243204,67";"364643655354,36";;"674786679337,00"
""CrabLobs"";"138682,99";"2300548,11";"1673441,43";"8489887,64";"14674134,75";"53282494,35";"16700803,10";"38332638,70";"1735735403,56";"35316,69";"113417,50";"281617,64";"1392422,38";"871057571,79";"471626,84";"2093589,20";"8765170,53";"311206190,35";"137519866,36";"59566191,92";"309029,26";"6981699625,56";"4511374607,90";;"14757214278,57"
""HetBenth"";"22065191,86";"608829592,58";"503555930,58";"50838036157,15";"97146104013,52";"288835614069,36";"30343441315,99";"8513906409,96";"17113079774076,60";"5352063,30";"31265990,83";"118191959,76";"3262729301,64";"137270657309,15";"51226052,62";"4556835603,87";"466809285,53";"995461784403,31";"1030652597404,16";"322970274926,82";"68654601,71";"34576996445258,80";"75944833734749,60";;"130606637885669,00"
""MicroNekt"";"19459124,49";"701849736,99";"702903496,57";"23382983678,27";"79830413452,62";"130911565801,24";"18769479135,37";"6964479008,12";"10359995406061,50";"6408970,66";"24734451,85";"155565127,71";"2202692422,26";"55734969685,94";"24532601,47";"3831237584,98";"178775826,27";"893232251083,61";"508871297924,64";"483678713019,64";"90584648,41";"49796708766212,50";"25396210962470,20";;"87762230031525,20"
""Mack"";"1557073,33";"37729266,84";"11006625,44";"11422755662,25";"14198418542,13";"64795983230,97";"5564530704,29";"716795019,92";"3319724712499,92";"148421,76";"3983553,17";"5286575,61";"565673695,95";"17185692489,50";"3423400,69";"645617129,45";"35739715,15";"129188109970,73";"223236329085,99";"110076569,06";"1786833,93";"421244956759,17";"19208820154680,90";;"23417520467506,20"
""Tuna"";"6482,90";"67097,18";"183334,80";"1769785,15";"3451849,40";"20054115,34";"5040485,80";"896168,18";"121590256,29";"2279,57";"9059,31";"44270,02";"516077,96";"4387261,13";"2725,52";"473319,25";"216320,48";"32038814,13";"48776349,15";"2084639,58";"4745,29";"588804875,98";"783540735,41";;"1613961047,83"
""MicroZoopl"";"453828259,14";"13467566985,21";"7623748060,27";"2558796223623,12";"3259281209434,93";"14379394716853,40";"1216061045641,12";"170121196990,62";"752838219294349,00";"81377286,00";"1030614746,34";"2242026403,66";"125932091350,90";"3991800729849,67";"905118593,96";"149539175647,81";"9076209513,23";"29966730252557,70";"49796708766212,50";"912697406311,54";"1093494769,69";"180447593992052,00";"4288068998662590,00";;"5327917848748080,00"
""Phyto"";"600481075,13";"11616861535,72";"14751490661,56";"894186679036,17";"5644848505296,80";"6425144884141,24";"1576158143716,02";"542846674273,10";"536038001367699,00";"119969559,45";"485215960,09";"3788475837,00";"165040818100,44";"1945871407889,99";"578424695,83";"263353751089,26";"5864786990,27";"65818855903449,70";"25396210962470,20";"41619110335142,00";"1455147080,05";"4288068998662590,00";"180268426489680,00";;"5154706315437970,00"

