TI3;"Lpred""""";"IntMedPred""""";"Carang""""";"FlatFishSole""""";"Sciae""""";"Spela""""";"EngraClup""""";"Squid""""";"DemZooBenthFeed""""";"Leio""""";"Mullid""""";"Nemi""""";"Bali""""";"Lact""""";"ReefFish""""";"OctoSep""""";"Tuna""""";"CrabLobs""""";"Shri""""";"Scrus""""";"LzooBenthFeed""""";"MacroBenth""""";"MeioBenth""""";"Lutja""""";"Serra""""";"Zoopl""""";"Phyto""""";"MacroBenthFlo""""";;SUM;;;
"MeioBenth""""";8362348,03;50261992,34;12488957,51;54239453,08;205933098,7;700056980,2;851067047,5;879995246,3;1072131683;3664376037;2374514059;739691869,9;291293928,3;510731757,1;380733346,5;149841867,4;2853134,14;203546597,2;947332099,2;25041741846;67106702,98;10869297090;10049120502;5214831,12;645540,32;1,15859E+11;1,56063E+11;1230397787;;332285467885,52;;;
"Mullid""""";1517599,88;9505867,61;2292967,35;8953436,69;30918395,28;107846457;123775242;126645470,5;145857796,6;540314050,4;383459616,5;100633155;39244998,6;75288332,03;69440060,49;25901286,84;520970,27;31980467,93;175750576,9;4568174650;11967335,86;1685718707;1815804868;944910,58;122854,13;26487505595;19308651041;298074059,4;;56176810769,54;;;
"Nemi""""";686678,46;3785236,95;1021440,81;3497801,34;8060537,19;27055357,64;26572873,79;26190436,79;32513564,72;122348017,4;108374167;17573018,44;7189594,69;17070848,57;29100586,66;8614997,44;212054,08;10649016,67;67555875,08;1582280996;4344175,93;580168777,1;609158010,5;398763,68;54124,16;12035541088;1928989575;121483627,4;;17380491241,91;;;
"OctoSep""""";43049,66;382700,47;60729,56;307179,74;1516416,94;5132853,56;6233743,87;6441955,05;6798948,75;27478785,64;17931660,12;5538212,64;2061608,42;3823057,64;2074017,36;1073744,6;18426,92;1311461,18;6898180,77;186839661,9;542056,42;57027227,62;79328047,43;28475,37;3725,72;885748106,3;1116773864;17935758,71;;2439353656,73;;;
"Phyto""""";55200498,78;403005392,5;63995935,1;319963364,7;1017371509;4777755073;4398386157;4200989005;2284034324;18741161733;19308651041;1791204606;688372232,9;2604824697;4087106482;1613117804;22787211,8;838939097,4;13415581153;3,24369E+11;570830023,6;54384772744;1,19343E+11;28173088,88;3782841,59;2,65237E+12;86190983503;18255697902;;3336153240297,54;;;
"ReefFish""""";37338,46;1586549,07;82864,98;1054758,39;4898824,8;9586910,88;12603111,88;13135517,78;16739608,92;71998640,14;42732344,92;16628906,66;5515275,47;9953537,69;1914672,57;1843570,98;19779,85;5210884,48;15053606,72;258595848,6;2504750,62;81558224;179168633,6;45215,93;10555,53;681284441,2;2515142450;145192560,9;;4094099385,30;;;
"Sciae""""";221732,67;1109246,28;301270,9;933804,46;2260101,18;5944407,23;6392557,5;6465985,55;9786984,16;31266686,86;23783380,99;5757526,56;2246907,87;4370224,01;6123531;1684907,71;65865;3134509,44;12560833,17;285151470,6;1198494,35;144713810;121137116,9;116922,12;16227,33;1901732191;782593468,2;38141961,13;;3399212124,44;;;
"Scrus""""";8927278,15;94147132,41;9572754,32;85011696,11;570302941,1;2119429494;2638624229;2732351851;2721974829;11114425606;7027961000;2260401423;854789270,5;1546449355;646489621,6;415199248,8;5213156,98;397362788,7;2549782579;72503105654;159159205;19666317600;29460872760;5720346,97;606620,2;3,05848E+11;4,9903E+11;3726914515;;968199123685,47;;;
"Serra""""";1341,78;8581,68;1196,56;6967,48;19472,8;15229,92;22205,51;21871,94;61187,5;184899,58;113403,81;46392,13;15932,2;25840,06;15833,29;4967,63;394,95;26338,42;69116,01;363972,12;12133,2;540513,52;455675,52;478,62;76,5;1392379,13;3491853,78;591153,54;;7509409,19;;;
"Shri""""";1118232,33;6899570,57;1806616,43;5123777,58;21353416,39;70261142,71;87324846,62;91754744,92;110090258,4;379737410,8;229827677,5;82032134,03;30951250,79;52960873,15;31988914,28;13029897,02;395590,88;21920289,24;63412533,61;2167315192;7396827,81;1033046237;947332099,2;738910,35;97914,35;7264035634;17543452277;203299299,3;;30468703569,18;;;
"Spela""""";337157,5;2505087,19;365733,86;2153389,26;10105492,28;39233607,2;44411702,78;44956686,4;40861099,78;189223639,8;141029982,2;32852934,28;12492585,56;26329054,8;20372185,62;9695390,05;145771,8;7857409,02;70261142,71;1801515070;3770906,82;418780647,8;700056980,2;173324,39;21575,72;11288871671;6247833557;104226870,2;;21260440656,02;;;
"Squid""""";344901,07;2267021,19;385257,66;1872402,43;7759182,66;31734131,57;34144158,4;34137362,1;28625979,6;144193888,5;116903511,2;22448945,82;8616634,44;20069932,94;19703276,67;8589273,4;141865,28;6157788,49;64768055,24;1639411111;3205156,93;357107612,9;621173115,1;172177,59;21871,94;11341554992;3877836004;85961221,14;;18479306831,55;;;
"Tuna""""";8124,97;30207,03;6534,65;14618,62;59278,5;77173,3;107634,59;106398,96;148226,19;569413,42;360671,73;136320,48;48057,17;81066,83;22252,33;18426,92;2947,59;51503,03;209430,47;2345920,64;31336,97;903882,51;1510482,78;2116,52;296,21;10572214,45;15775762,01;1186901,96;;34387200,85;;;
"Zoopl""""";23345214,71;378486803,9;29043729,03;357522600,8;3232944725;11288871671;15233378632;16067202906;17506763705;64033635301;34637507316;14614585607;5507866478;8912061997;1447729438;1673079756;19969738,4;2196197905;7264035634;2,59971E+11;686616028;98443177022;1,15859E+11;22743229,66;1972537,1;86608330908;3,46849E+12;12964719657;;4247471764088,27;;;
