TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"BenthFeed""""";"Pisci""""";"CatFish""""";"Leer""""";"DuskyKob""""";"Bird""""";"Grunter""""";"SkipJack""""";;SUM
"CatFish""""";2,43174E+14;3,35939E+15;3,09624E+15;5,27647E+14;2,30871E+15;67302949909;2,04263E+14;1,02043E+17;1,22235E+14;2,38193E+15;7,36916E+13;1,91248E+15;1,42386E+14;6,77194E+14;7,44198E+14;120567209,7;0;2,09493E+13;5,56766E+14;1,74371E+16;6,27378E+14;3,60751E+13;2,6039E+14;5,25919E+13;1,20712E+14;3,69201E+14;4,23789E+14;4,3478E+11;;1,37742E+17
"Leer""""";2,31075E+14;4,01385E+13;3,5885E+13;1,15663E+13;1,30444E+13;12433250907;4,78916E+13;1,15693E+15;1,88777E+16;3,71595E+17;1,55459E+16;2,09449E+17;3,01384E+15;1,75121E+17;1,88065E+17;66573821,53;0;1,19214E+13;3,25206E+13;8,86541E+13;1,67612E+14;3,54983E+11;6,31103E+13;3,74846E+12;5,26983E+12;5,78172E+13;2,45245E+14;2,33246E+11;;9,8388E+17
"DuskyKob""""";3,41536E+15;1,5075E+15;1,29941E+15;3,68893E+14;3,21935E+14;3,83833E+11;5,86236E+14;4,70696E+15;4,84647E+16;9,54384E+17;3,99083E+16;5,38643E+17;7,75824E+15;4,49552E+17;4,82811E+17;43766186,84;0;3,41279E+13;1,37337E+14;4,45948E+14;5,994E+14;2,6542E+12;2,41424E+14;8,78305E+12;1,25582E+13;1,67386E+14;6,94436E+14;68567948591;;2,53607E+18
"Bird""""";5,27875E+15;7,74299E+15;6,96662E+15;1,43951E+15;3,16349E+15;7,64166E+11;1,18229E+15;39635582148;1,406E+16;2,78116E+17;1,15613E+16;1,59262E+17;2,45273E+15;1,30115E+17;1,3964E+17;0;0;4,45753E+11;1,66319E+14;7,84952E+14;5,34123E+14;2,59589E+13;3,69201E+14;4,8181E+13;8,36932E+13;3222730996;87104515940;447092105,8;;7,62995E+17
"Grunter""""";65747164542;1,50591E+16;1,38419E+16;2,3516E+15;7,49953E+15;2,88446E+11;8,79813E+14;1,13145E+14;1,06715E+14;2,8407E+15;1,08749E+14;1,1693E+15;5,14108E+14;9,25133E+14;1,00435E+15;64251554;0;1109157402;1,90212E+11;1,938E+15;3,53322E+13;6,13914E+13;2,54273E+14;1,22623E+14;2,08331E+14;52262709564;21247665423;17204989935;;4,90347E+16
"SkipJack""""";3,82495E+14;1,59812E+14;1,35949E+14;4,16443E+13;2,21401E+13;47672812911;6,14932E+13;0;174346118,2;1,75418E+12;726375283,1;5,1058E+11;1,68634E+12;12125535648;3,03108E+12;0;0;32271290062;5090946,78;61756440319;7,8863E+11;98464635397;86955914456;38874352827;6856794859;89418421,17;5734996645;32396020,83;;8,11696E+14
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WO3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"Epiph""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"BenthFeed""""";"Pisci""""";"CatFish""""";"Leer""""";"DuskyKob""""";"Bird""""";"Grunter""""";"SkipJack""""";;SUM
"AttWat""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
