TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"MacrophSal""""";"DuskyKob""""";"Epiph""""";"BenthFeed""""";"FreeWat""""";"AttWat""""";"ZooplEater""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"CatFish""""";"Leer""""";"Grunter""""";"Bird""""";"SkipJack""""";;SUM
"DuskyKob""""";5,12151E+13;1,6263E+13;1,28495E+13;1,08226E+13;7,24592E+13;1119739402;8,51425E+13;2,76595E+14;3,44124E+15;2,56542E+14;1,23826E+14;1,70121E+13;5,94552E+12;5,38615E+14;508983408;4295010671;2,35083E+14;1,38508E+14;0;7097497766;2,43058E+13;3,35168E+15;9,68848E+14;3,2392E+12;5,57671E+11;7,36618E+11;1,82559E+11;9,49029E+12;71783111205;;9,64125E+15
"Epiph""""";5,44735E+16;9,88928E+14;3,06022E+14;8,2871E+14;2,77258E+12;88994462712;1,01382E+16;2,80498E+16;4,54711E+16;2,70685E+16;1,25382E+16;2,66754E+13;3,88671E+14;8,18023E+16;1756845906;5,22408E+13;1,7152E+13;2,27893E+17;0;7,21803E+15;1,88604E+15;5,43199E+17;7,14575E+16;7,3649E+13;2,64957E+14;4,18786E+13;6,58333E+14;1,34679E+16;7,27689E+11;;1,12831E+18
"BenthFeed""""";7,15473E+14;1,97575E+16;1,03654E+17;3,07509E+16;6,21504E+17;7,36263E+11;1,48667E+17;2,84036E+17;1,18339E+19;1,99159E+16;2,82104E+16;5,97368E+16;1,92348E+16;3,87671E+16;24857183872;2,77016E+14;2,05104E+18;5,92579E+16;6,59338E+15;5,84551E+11;2,17801E+15;1,04637E+18;1,89703E+18;2,70835E+16;1,13915E+15;7,52412E+15;4,71486E+13;2,94312E+15;7,38166E+14;;1,83111E+19
"FreeWat""""";1,67131E+15;3,19216E+17;6,95056E+15;9,9073E+14;5,69919E+15;1,28702E+11;0;0;0;0;0;0;0;0;0;0;0;3,66299E+14;5,06807E+11;52071730329;1,63195E+15;0;0;1,02253E+13;0;0;0;0;0;;3,36537E+17
"AttWat""""";6,31671E+11;4,27877E+14;1,18815E+15;2,65173E+14;4,01003E+15;5708721856;0;0;1,72933E+15;8,71758E+12;4,02151E+13;7,27832E+13;9,92278E+13;8,05902E+11;11149722,55;2365832589;1,0827E+16;97425096548;1,56215E+11;619109391,1;3,93964E+13;1445493329;1,12311E+15;1,3969E+14;3,83756E+12;3,38493E+13;38094631,67;74850450631;3,32207E+12;;2,00135E+16
"ZooplEater""""";2,55821E+15;3,37563E+15;7,52698E+15;2,82849E+15;8,21936E+15;45699460555;2,68423E+14;1,16864E+13;1,5209E+15;7,57559E+12;3,06927E+13;5,23011E+13;8,59088E+13;1,04171E+13;305757,63;2,70065E+13;9,43021E+15;1,21E+15;1,63195E+16;1,31321E+14;4,67766E+14;3,29232E+15;1,43693E+15;3,55822E+14;6,97562E+12;1,08885E+14;1,20238E+13;1,20122E+15;2,3204E+14;;6,07287E+16
"SedBaci""""";32726859418;594132928,5;7,75789E+16;2,83902E+16;7,00869E+17;7,3408E+11;6,79438E+16;3,83815E+18;1,586E+20;2,63131E+17;3,06268E+17;6,71667E+17;3,15605E+16;5,43422E+17;76759871881;3,35168E+15;2,4444E+18;5,23185E+17;0;4336479988;2,96309E+15;5,32565E+18;2,20899E+19;3,43609E+16;5,33338E+15;1,03943E+16;1,45102E+14;7,545E+15;7,45825E+14;;1,95577E+20
"CarnMac""""";2,26026E+16;4,10364E+14;9,18209E+15;3,65791E+15;8,18264E+16;1,22597E+11;3,54162E+17;5,37451E+17;2,0034E+19;4,26485E+16;4,2587E+16;8,32706E+16;3,89537E+15;1,00636E+17;281783129,8;8,61198E+14;2,8583E+17;8,43122E+17;0;2,99497E+15;1,14954E+15;1,96354E+19;5,3848E+18;5,33451E+15;3,8645E+15;1,61144E+15;1,32395E+15;5,90768E+16;8,75446E+13;;4,75419E+19
"Pisci""""";3,6121E+15;1,98503E+14;7,88004E+13;1,28105E+14;1,42698E+14;14374480876;6,97271E+14;3,36342E+15;1,34322E+16;3,43312E+15;1,60718E+15;5,967E+13;5,2682E+13;8,64492E+15;3660378167;3,2392E+12;3,3142E+14;1,35417E+16;9,20274E+13;4,19071E+14;3,2024E+14;3,43609E+16;6,00133E+15;9,47953E+12;1,60804E+13;3,7132E+12;3,83634E+13;7,90844E+14;4,78193E+11;;9,13796E+16
"CatFish""""";1,07874E+14;3,11065E+13;1,03591E+14;2,81396E+13;4,78292E+14;809300348,9;1,40857E+14;8,74201E+14;3,20165E+16;1,81733E+14;1,24318E+14;1,41186E+14;1,70283E+13;4,30228E+14;162136783,2;6,81597E+11;1,45727E+15;6,96148E+14;0;1,4071E+13;7,67318E+12;6,51857E+15;5,31369E+15;1,96539E+13;2,44166E+12;5,10559E+12;1,55586E+12;4,04268E+13;4,4681E+11;;4,87528E+16
