TI3;"Tibur""""";"Zalo""""";"AvesMar""""";"Odon""""";"Merlu""""";"Sciae""""";"Rhino""""";"Serran""""";"Ray""""";"OtroPec""""";"Haemu""""";"Pela""""";"Cepha""""";"PecPla""""";"Mycto""""";"Mojar""""";"JTotoa""""";"ATotoa""""";"CDeRo""""";"Jaib""""";"CAA""""";"Polique""""";"CCA""""";"Vaqu""""";"Esto""""";"InvBenth""""";"CCPL""""";"Zoopl""""";"Myst""""";"CAPL""""";"AvesCos""""";"Macroph""""";"Phyto""""";;SUM;;
"Mycto""""";5564663,63;2252703,27;200462,18;23940634,55;14666106,94;14621616,87;3387133,21;556250,87;23896007,41;1290327650;130302431,9;7216217516;9775570005;10810164,07;3832317425;8109955,95;1606803,75;332041,1;13905478,73;209657431,1;195876196,1;5893834741;96781543,17;166214,49;13962241,44;36931090506;566654952,8;6,42126E+11;54702641,97;1622839865;885064,26;971140739,4;5,43314E+11;;1254366298880,94;;
"Myst""""";85157,1;33410,62;3299,44;302742,62;27858,08;171613,34;47816,96;7440,78;307959,12;11457481,51;1354518,66;42873692,43;97242899,59;205735,12;36468427,98;189597,93;22063,71;4681,8;115442,05;2442206,01;2224050,85;65979886,23;1027022,72;2250,03;217929,39;471467910,7;3383203,34;11829550606;68181,87;9682733,81;1833,09;10741763,34;339981078,6;;12927692495,27;;
"Odon""""";341314,98;109207,34;6900,45;618162,8;156631,32;177009,99;42827,82;5780,67;122468,26;8304096,42;741474,73;48123755,94;55599086,77;101094,43;22344592,24;117658,32;24071,79;8835,77;81662,04;1106328,22;1031016,44;29002702,33;533729,38;5365,45;63510,35;189995713,5;3706601,1;2363901961;423839,66;10601958,63;6626,77;2992996,4;4188219086;;6928618067,13;;
"OtroPec""""";4620936,98;1821007,94;162407,62;16608192,84;8751679,75;14759577,72;3712406,86;601356,77;25252722,9;820100165,5;84154840,11;4357990697;6173698758;12998694,46;2408611613;10966212,91;1530703,8;227440,79;9325486,87;145332609,5;130208481,9;4130682126;63402927,85;120652,38;10038231,61;24266296286;342338427,7;4,43816E+11;32080948,23;980326576,2;547978,76;977100831,7;3,08299E+11;;797149395116,93;;
"PecPla""""";74087,82;28293,41;4075,6;115536,49;84579,89;1109156,58;299186,31;52746,07;2085507,25;7427825,4;687259,74;20937344,53;29607933,36;1076031,02;11530841,68;1146568,17;100297,59;2113,51;187189,52;2965121,13;1591807,72;96755100,26;676020,02;1465,61;178772,56;165021003;1714490,47;2218997342;329176,19;4902771,85;9815,05;77963871,14;1583061873;;4230725203,63;;
"Pela""""";12497301,96;5036437,27;457721,5;51561167,08;17769726,16;27299986,38;6303465,56;1032609,11;44251982,14;2334637873;254561595,9;11400331522;18764231403;19628760,5;7216217516;15343656,2;3245999,92;775908,64;24125711,55;422199609,6;396228847,9;11797032257;189182840,1;366775,1;32700904,84;79032557790;896079240,7;1,69338E+12;64310538,64;2565762167;1054005,04;1790813353;6,13891E+11;;2444659474550,96;;
"Phyto""""";1128910894;452923941,2;41862864,55;4487377592;236092296;2028876854;474565442,2;76655847,4;3284070635;1,6516E+11;20193223463;6,13891E+11;1,45274E+12;1484120506;5,43314E+11;1235655881;264219837,3;71348247,96;1590255353;34905642188;32902470362;9,65784E+11;15033910697;32537202,85;3184640622;7,01766E+12;48371009672;1,81624E+14;509971618;1,38437E+11;11387217,28;1,30639E+11;4,93431E+11;;193316636945841,00;;
"Polique""""";12467084,72;4897877,17;837347,3;43504053,5;39285756,21;52416140,27;20318923,8;2906800,86;122107155,7;3098011595;278102982,3;16515845160;20895610618;126991069,1;8251368638;119184238,7;6986218,84;597547,7;37051375,37;542303215,5;437611514,9;13256945508;226511585,9;337521,68;35466530,13;83024681234;1305280162;1,16993E+12;138557761,1;3738215960;2771187,43;3335405186;1,3521E+12;;2677702699901,55;;
"Ray""""";102417,94;37559,71;10291,5;148711,45;175704,04;1008982,39;380123,01;58230,84;2345167,97;15332010,33;1110554,79;50152246,42;69353816,44;2215851,45;27082141,74;2229176,49;119728,07;2707,44;271730,99;4349314,44;2369894,32;98848649,82;1219240;2042,72;300444,36;410669824,4;4112518,22;4845060756;523530,5;11769728,12;19028,75;66772815,15;3721946720;;9340101660,30;;
"Rhino""""";19373,72;7149,06;1356,25;39768,69;20529;133542,92;45804,38;7329,32;290682,3;1723617,47;127394,75;5463003,49;7501899,77;243088,88;2935515,45;249781,57;15454,47;808,6;31823,05;510089,02;276325,23;12578381,4;137144,59;428,62;34039,82;44003103,34;448156,3;519134448,6;62162,05;1281836,27;2120,99;8894859,71;411290049,9;;1017511069,03;;
"Sciae""""";157372,82;55211,8;11119,05;316089,27;159019,45;573743,32;256813,31;37255,88;1483797,63;13178194,39;897161,22;45499977,3;62206757,74;1733057,16;24369361,45;1746942,99;87253,07;6809,94;199834,06;3225438,31;1816948,41;62400166,99;985268,24;3402,33;230405,62;359059380,3;3714828,43;4217611049;429033,34;10627625,1;15203,17;34948193,45;3381461423;;8229504137,48;;
"Serran""""";3453,2;1257,63;256,49;5780,67;3680,32;20863,29;7893,11;1167,14;47954,81;300678,39;21557,17;963768,5;1328573,35;46152,81;519167,48;44996,75;2595,7;125,56;5455,62;85931,11;46539,81;1937867,24;24129,72;67,98;6070,76;8011204,79;78814,21;92605747,87;10417,1;225471,69;386,62;1357899,1;71545457,57;;179261383,59;;
"Tibur""""";166114,51;58980,09;4777,41;365694,62;51906,4;94423,69;22354,29;3699,86;90368,77;2475501,95;192286,79;12497301,96;13655487,28;69457,33;5564663,63;86403,74;17478,37;7133,42;24719,54;345713,13;277987,03;8905060,51;142981,8;3187,1;18843,44;47950327,58;961861,66;473090595;127735,65;2744937,08;2026,11;2486495,85;1128910894;;1701417399,73;;
"Vaqu""""";2337,21;779,35;51,51;4215,71;939,52;1497,02;362,68;53,41;1321,76;47399,15;4159,65;268968,41;302027,56;1007,61;121890,63;1082,37;195,47;64,68;494,55;6656,7;5861,46;176797,07;3020,79;37,69;379,84;1032731,28;20650,34;11669688,74;2475,03;59041,16;40,46;37362,29;23860615,42;;37634206,52;;
"Zalo""""";39320,06;13688,73;1097,73;78005,24;13149,75;22084,72;5499,28;898,31;22093,95;650359,98;51512,63;3357624,85;3701651,16;17683,38;1501802,18;21959,92;4100,44;1617,45;6537,33;91431,01;74401,81;2332322,46;38411,91;708,5;5016,05;13041469,04;258769,08;132809919,8;33410,62;738980,96;535,44;592348,65;301949294,1;;461477706,49;;
"Zoopl""""";599248087;252338847,5;21926853,27;3208152662;5872037217;3205384397;758734963,4;125679229,3;5415067904;3,01161E+11;25078327968;2,14495E+12;1,97461E+12;2635059343;8,1336E+11;1862705020;291905000,7;31476704,24;3539653892;37015631102;33956645347;1,05851E+12;18630043902;20156735,1;1178305170;5,18795E+12;1,68217E+11;4,92494E+11;22476146152;4,81899E+11;360468171,5;2,20164E+11;2,30057E+14;;243066390752526,00;;
