TI3;"Lpred""""";"IntMedPred""""";"Carang""""";"FlatFishSole""""";"Sciae""""";"Spela""""";"EngraClup""""";"Squid""""";"DemZooBenthFeed""""";"Leio""""";"Mullid""""";"Nemi""""";"Bali""""";"Lact""""";"ReefFish""""";"OctoSep""""";"Tuna""""";"CrabLobs""""";"Shri""""";"Scrus""""";"LzooBenthFeed""""";"MacroBenth""""";"MeioBenth""""";"Lutja""""";"Serra""""";"Zoopl""""";"Phyto""""";"MacroBenthFlo""""";;SUM
"Mullid""""";0,02;0;0;0;0;0;0;0,02;0,02;0,02;0;0,02;0;0,02;0;0;0;0;0;0,02;0;0,02;0,02;0;0;0;0;0;;0,16
"Nemi""""";0,04;0,02;0,02;0;0;0;0,02;0,02;0,02;0,02;0,02;0;0;0,02;0;0;0;0;0,02;0,04;0;0,04;0,02;0;0;0,02;0;0;;0,3
"OctoSep""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0,02;0,02;0;0,02;0,02;0;0;0;0;0;;0,09
"Phyto""""";0,04;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0,02;0,02;0,02;0,02;0,04;0,02;0,04;0;0;;0,25
"ReefFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0,02;0;0;0;0;0;0;;0,04
"Sciae""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Scrus""""";0,14;0,23;0,14;0;0;0,14;0,05;0,05;0,2;0,02;0,02;0,04;0;0,02;0;0,02;0;0,13;0,18;0;0,02;0,34;0,23;0,04;0;0,16;0,02;0;;2,18
"Serra""""";0,02;0,02;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,02;0;0,02;0,02;0;;0,11
"Shri""""";0,05;0,14;0,09;0;0;0,11;0,05;0,04;0,13;0;0;0,02;0;0;0;0,02;0;0,11;0;0,18;0;0,2;0,13;0,02;0;0,09;0;0;;1,36
"Spela""""";0,05;0,13;0,09;0;0;0;0,02;0,02;0,14;0;0;0;0;0;0;0;0;0,05;0,11;0,14;0;0,16;0,11;0;0;0,07;0;0;;1,09
"Squid""""";0,04;0,04;0,04;0;0;0,02;0,02;0;0,04;0,02;0,02;0,02;0;0,02;0;0;0;0,02;0,04;0,05;0;0,04;0,02;0;0;0,02;0;0;;0,43
"Tuna""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Zoopl""""";0,14;0,14;0,13;0;0;0,07;0,04;0,02;0,11;0;0;0,02;0;0;0;0;0;0,05;0,09;0,16;0,02;0,18;0,13;0,05;0,02;0;0,04;0;;1,39
