TI3;"PrimProd""""";"MicroZoopl""""";"MesoZoopl""""";"SuspFeed""""";"ShriPrawn""""";"Echino""""";"Bivalv""""";"Scalo""""";"Lobs""""";"Ogado""""";"Cepha""""";"SMDem""""";"Sgado""""";"Lemsole""""";"Awhit""""";"Herr""""";"Sprat""""";"Pil""""";"Mack""""";"Scad""""";"MacroZoopl""""";"Acod""""";"Ray""""";"Sande""""";"BaskSha""""";"Bird""""";"DepoFeed""""";"Whelk""""";"RedMull""""";"Jsole""""";"Asole""""";"Jplai""""";"Aplai""""";"Dab""""";"LFlatFish""""";"Gurna""""";"Jwhit""""";"Jcod""""";"DogFish""""";"Bream""""";"Bass""""";"SMCrab""""";"Lcrab""""";"Lbott""""";"JohnDo""""";"AngFish""""";"Seal""""";"Hake""""";"ToothCet""""";"Sha""""";;SUM
"Bivalv""""";0,05;0,04;0,08;0,11;0,22;0,16;0;0,02;0,04;0,11;0,15;0,16;0,1;0,02;0,03;0;0,03;0,01;0,02;0,06;0;0,05;0,03;0,05;0;0,01;0,26;0,01;0,01;0,01;0;0,01;0;0,01;0;0,01;0,01;0,01;0,15;0;0;0,23;0,01;0,02;0;0,03;0,02;0,01;0,01;0;;2,37
"Bream""""";0;0;0,01;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0,01;0,01;0,01;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;;0,08
"Cepha""""";0,02;0,06;0,14;0,07;0,2;0,09;0,15;0,02;0,02;0,15;0;0,14;0,16;0,04;0,06;0,04;0,09;0,04;0,11;0,14;0;0,09;0,02;0,11;0,02;0,01;0,24;0;0;0;0;0;0,01;0,02;0,02;0,02;0,04;0,04;0,13;0,01;0;0,21;0,01;0,04;0,01;0,05;0,05;0,01;0,03;0;;2,93
"Dab""""";0,01;0,01;0,02;0,01;0,01;0,01;0,01;0;0,01;0,02;0,02;0,03;0,02;0,02;0,02;0,01;0,01;0;0,02;0;0;0;0;0,01;0;0;0,03;0;0;0,01;0;0;0;0;0;0;0,02;0,02;0,01;0;0;0,03;0;0;0;0;0,01;0;0;0;;0,4
"DepoFeed""""";0,04;0,06;0,13;0,11;0,27;0,15;0,26;0,01;0,03;0,16;0,24;0,22;0,18;0,05;0,06;0,04;0,09;0,03;0,09;0,12;0;0,1;0,05;0,13;0;0,02;0;0,01;0,01;0,01;0;0,01;0,01;0,03;0,01;0,03;0,04;0,05;0,18;0;0;0,32;0,01;0,04;0;0,06;0,07;0,01;0,01;0;;3,55
"DogFish""""";0,02;0,04;0,08;0,06;0,14;0,09;0,15;0;0,02;0,13;0,13;0,1;0,13;0,05;0,07;0;0,04;0,01;0,05;0,1;0;0,08;0,04;0,04;0;0,03;0,18;0,01;0,01;0,01;0;0,01;0;0,01;0,01;0,01;0;0,01;0;0;0;0,17;0;0,05;0,01;0,03;0,01;0,02;0,02;0;;2,17
"Echino""""";0,05;0,04;0,07;0,08;0,13;0;0,16;0,02;0,04;0,08;0,09;0,1;0,07;0,02;0,02;0;0,02;0,01;0,01;0,02;0;0,02;0,02;0,03;0;0;0,15;0,01;0,01;0,01;0;0,01;0;0,01;0;0;0;0;0,09;0;0;0,12;0,01;0,02;0;0,01;0,02;0;0;0;;1,57
"Gurna""""";0;0,01;0,01;0;0,03;0;0,01;0;0;0,02;0,02;0,02;0,03;0;0,01;0;0,02;0,02;0,01;0,04;0;0,02;0;0,02;0;0,01;0,03;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0,02;0;0;0;0,02;0;0;0;0;;0,38
"Hake""""";0;0,02;0,02;0;0,01;0;0,01;0;0;0,01;0,01;0,01;0,01;0,02;0,01;0;0,02;0,01;0,01;0,03;0;0,01;0;0;0;0,02;0,01;0;0;0;0;0;0;0;0;0;0,01;0,01;0,02;0;0;0,01;0;0,02;0,01;0;0;0;0,02;0;;0,34
"Herr""""";0,01;0,02;0,03;0,02;0,05;0;0;0;0;0,02;0,04;0,04;0,05;0,03;0,01;0;0,05;0,02;0,03;0,03;0;0,02;0,01;0,03;0;0;0,04;0;0;0;0;0;0;0,01;0;0;0,02;0,01;0;0;0;0,05;0;0;0,01;0,01;0,04;0;0;0;;0,7
"Jcod""""";0;0;0,03;0;0,02;0;0,01;0;0;0,02;0,04;0,03;0,03;0,02;0,02;0,01;0,02;0,01;0,04;0,02;0;0,01;0,01;0,03;0;0,01;0,05;0;0;0;0;0;0;0,02;0;0;0,03;0;0,01;0;0;0,04;0;0,01;0;0;0,02;0,01;0;0;;0,57
"JohnDo""""";0;0,01;0,01;0;0,01;0;0;0;0;0,01;0,01;0,01;0,01;0,02;0;0,01;0,02;0,02;0;0,02;0;0;0;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0,01;0;0,01;0;0;0,01;0,01;0,01;0;;0,24
"Jplai""""";0,01;0;0;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;;0,16
"Jsole""""";0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0;0,01;0;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;;0,15
"Jwhit""""";0;0,01;0,02;0,01;0,03;0;0,01;0;0;0,02;0,04;0,03;0,03;0,01;0,01;0,02;0,02;0;0,02;0,01;0;0,01;0;0,02;0;0;0,04;0;0;0;0;0;0;0,02;0;0;0;0,03;0;0;0;0,04;0;0;0;0;0,01;0,01;0;0;;0,47
"Lbott""""";0;0,04;0,06;0,02;0,02;0,02;0,02;0;0;0,06;0,04;0,02;0,03;0,04;0,04;0;0,04;0,03;0,04;0,07;0;0,03;0,01;0,04;0;0,03;0,04;0;0;0;0;0;0,01;0;0,02;0;0;0,01;0,05;0;0;0,01;0;0;0,01;0,03;0,03;0,02;0,02;0;;0,95
"Lcrab""""";0;0;0,01;0;0,01;0,01;0,01;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0,01;0;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;;0,11
"Lemsole""""";0,03;0,04;0,06;0,04;0,04;0,02;0,02;0;0,02;0,07;0,04;0,07;0,07;0;0,05;0,03;0,05;0,04;0,06;0,07;0;0,03;0,02;0,04;0;0,03;0,05;0,01;0,01;0,01;0;0,01;0,01;0,02;0,01;0;0,01;0,02;0,05;0;0;0,04;0;0,04;0,02;0,01;0,04;0,02;0,02;0;;1,34
"LFlatFish""""";0;0,01;0,01;0;0;0;0;0;0;0,02;0,02;0,01;0;0,01;0,01;0;0;0;0,02;0,02;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0,02;0;0,02;0,01;0;0;0;;0,22
"Lobs""""";0,04;0,03;0,03;0,04;0,03;0,04;0,04;0,02;0;0,04;0,02;0,02;0,01;0,02;0,01;0;0;0;0;0;0;0;0,01;0;0;0;0,03;0,01;0,01;0,01;0;0,01;0;0,01;0;0;0;0;0,02;0;0;0,02;0;0;0;0;0;0;0;0;;0,52
"Mack""""";0,01;0,04;0,13;0,02;0,06;0,01;0,02;0;0;0,09;0,11;0,09;0,11;0,06;0,07;0,03;0,11;0,06;0;0,13;0;0,06;0,02;0,09;0,02;0,02;0,09;0;0;0;0;0;0,01;0,02;0,02;0,01;0,02;0,04;0,05;0,01;0;0,07;0,01;0,04;0;0,03;0,04;0,01;0,03;0;;1,86
"MacroZoopl""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MesoZoopl""""";0,04;0,11;0;0,08;0,12;0,07;0,08;0,02;0,03;0,12;0,14;0,09;0,12;0,06;0,09;0,03;0,15;0,08;0,13;0,14;0;0,07;0,02;0,11;0,02;0,03;0,13;0;0;0,01;0;0;0;0,02;0,01;0,01;0,02;0,03;0,08;0,01;0;0,09;0,01;0,06;0,01;0,03;0,03;0,02;0,04;0;;2,56
"MicroZoopl""""";0,03;0;0,11;0,06;0,06;0,04;0,04;0,02;0,03;0,08;0,06;0,03;0,05;0,04;0,04;0,02;0,07;0,04;0,04;0,06;0;0,04;0,01;0,05;0;0,02;0,06;0;0;0,01;0;0;0;0,01;0,01;0,01;0,01;0;0,04;0;0;0,03;0;0,04;0,01;0,03;0,02;0,02;0,02;0;;1,36
"Ogado""""";0,04;0,08;0,12;0,08;0,16;0,08;0,11;0,02;0,04;0;0,15;0,15;0,17;0,07;0,08;0,02;0,09;0,05;0,09;0,13;0;0,07;0,03;0,1;0;0,02;0,16;0,01;0,01;0,01;0;0,01;0,01;0,02;0,02;0,02;0,02;0,02;0,13;0;0;0,13;0;0,06;0,01;0,02;0,03;0,01;0,01;0;;2,66
"Pil""""";0,01;0,04;0,08;0,03;0,05;0,01;0,01;0;0;0,05;0,04;0,05;0,05;0,04;0,02;0,02;0,1;0;0,06;0,09;0;0,01;0;0,05;0,02;0,01;0,03;0;0;0;0;0;0;0;0;0,02;0;0,01;0,01;0,01;0;0,02;0;0,03;0,02;0,01;0,02;0,01;0,03;0;;1,06
"PrimProd""""";0;0,03;0,04;0,06;0,04;0,05;0,05;0,02;0,04;0,04;0,02;0,04;0,02;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0;0;0;0,04;0,01;0,01;0,01;0;0,01;0;0,01;0;0;0;0;0,02;0;0;0,03;0;0;0;0;0;0;0;0;;0,7
"Ray""""";0,01;0,01;0,02;0,01;0,04;0,02;0,03;0;0,01;0,03;0,02;0,02;0,04;0,02;0,01;0,01;0,01;0;0,02;0,02;0;0,02;0;0,02;0;0,01;0,05;0,01;0,01;0;0;0,01;0;0;0;0;0;0,01;0,04;0;0;0,04;0;0,01;0;0,01;0,02;0;0;0;;0,61
"RedMull""""";0,01;0;0;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0;0;0;0,01;0;0;0;0;0;0;0,01;0;0;0,01;0;0;0;0;0;0;0;0;;0,16
