TI3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;
"Bird""""";0,01;0,01;0;0,01;0;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,05;0,04;0;0,01;0,01;0,01;0,01;0,03;0,06;0,01;0;0,03;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,01;0,04;0,05;0,01;0,04;0,01;0,01;0;0,01;0,01;;0,6;
"HarNeh""""";0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,02;0,01;0,01;0,01;0,01;0,05;0,05;0,03;0,03;0,01;0,01;0,04;0,01;0,01;0,01;0,01;0,03;0,03;0,01;0,01;0,01;;0,66;
"Phyto""""";0,03;0,03;0,02;0,03;0,02;0,05;0,05;0,06;0,04;0,06;0,03;0,04;0,07;0,06;0,02;0,02;0,02;0,05;0,02;0,05;0,08;0,04;0,03;0,05;0,06;0,08;0,07;0,03;0,04;0,02;0,04;0,02;0,05;0,05;0,03;0,09;0,04;0,07;0,04;0,02;0,02;0,02;;1,74;
"Pleuron""""";0,01;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,02;0,02;0;0;0;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0;0;0;0,01;0,02;0,03;0;0,02;0,01;0,01;0,01;0,01;0;0,01;0;0,03;0,07;0,01;;0,47;
"HetBaci""""";0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0;0,01;0,01;0,01;0,03;0,02;0,06;0,01;0;0,01;0,01;0;0;0,01;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,07;0,03;0;;0,5;
"Coilia""""";0;0;0;0;0;0;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;;0,14;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;
"AciSin""""";0;0,01;0;0,06;0;0,01;0;0,04;0,02;0,01;0,05;0,02;0,01;0,02;0;0;0,01;0,01;0,02;0,06;0,01;0,06;0;0,04;0,04;0,02;0,01;0;0,04;0;0,05;0;0,02;0,05;0;0;0,04;0;0,06;0;0;0;;0,8;0,012161751
