TI3;"Phyto""""";"MicroZoopl""""";"MesoZoopl""""";"MacroZoopl""""";"Jelly""""";"SupBenth""""";"OSPelaFish""""";"Shri""""";"BenthPelaCepha""""";"Mull""""";"FlatFish""""";"Gadi""""";"DemFishOne""""";"DemFishTwo""""";"DemFishFour""""";"BepeFish""""";"PicaBog""""";"Janch""""";"Aanch""""";"Jsard""""";"Asard""""";"HorMack""""";"Mack""""";"Crab""""";"NorLobs""""";"BenthCepha""""";"Hake""""";"DemFishThree""""";"Sha""""";"RaySkate""""";"MPelaFish""""";"LogTurtle""""";"Polych""""";"BenthInv""""";"AngFish""""";"LPelaFish""""";"Dolph""""";"Bird""""";;SUM
"Asard""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"HorMack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Mack""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Crab""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"NorLobs""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthCepha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Hake""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"DemFishThree""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Sha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"RaySkate""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"MPelaFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LogTurtle""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Polych""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"BenthInv""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"AngFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"LPelaFish""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Dolph""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
"Bird""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WI3;"Phyto""""";"MicroZoopl""""";"MesoZoopl""""";"MacroZoopl""""";"Jelly""""";"SupBenth""""";"OSPelaFish""""";"Shri""""";"BenthPelaCepha""""";"Mull""""";"FlatFish""""";"Gadi""""";"DemFishOne""""";"DemFishTwo""""";"DemFishFour""""";"BepeFish""""";"PicaBog""""";"Janch""""";"Aanch""""";"Jsard""""";"Asard""""";"HorMack""""";"Mack""""";"Crab""""";"NorLobs""""";"BenthCepha""""";"Hake""""";"DemFishThree""""";"Sha""""";"RaySkate""""";"MPelaFish""""";"LogTurtle""""";"Polych""""";"BenthInv""""";"AngFish""""";"LPelaFish""""";"Dolph""""";"Bird""""";;SUM
"Phyto""""";2,26886E+12;5,09723E+13;4,73292E+12;93015539757;3,33753E+11;51729633363;16920286119;291282248;442099618,1;41129581,45;28363601,12;240445538;189957858,1;9928731,85;44219396,07;3468312714;4627325209;16205582519;39789628593;11469807819;27720107100;2317843545;2297771115;2612513,68;7342577,28;6986265,06;38163492,8;8748193,64;11058584,81;6792166,62;43534544,17;6771994,14;26769582,07;36674174,26;1297748,35;5950664,16;4639449,58;4993768,28;;5,85789E+13
"MicroZoopl""""";3,39815E+13;2,26835E+12;2,36728E+12;95317262270;4,14276E+11;18076567309;17360341589;383140301,5;521040996,2;49416707,86;33141503,02;293807805;254886103,2;8584224,86;59146446;4527019304;6152801623;21601756630;53039954237;15289275532;36950217493;3057271478;2963977395;3619305,02;4797854,7;5344497,37;23087309,34;13422434,42;6385236,77;3640045,52;22537295,38;3514145,1;50570458,86;69201375,78;1036002,34;3019624,28;2349743,11;2559490,01;;3,93076E+13
"MesoZoopl""""";1,7354E+13;1,302E+13;2,2654E+12;69536614996;2,89468E+11;21715717027;13260618306;266563552,6;349094198,2;34184513,59;21510589,21;206588122,6;176893812,3;4350484,72;41751409,34;3230214524;4388147731;15406077055;37827982036;10904064248;26349519495;2178753528;2107909919;1814800,38;3498446,3;3729935,88;7411824,38;5660886,68;3919994,79;701689,63;1930314,58;2167846,62;20839116,21;27392237,48;244197,49;53578,52;44131,05;42911,16;;3,3137E+13
"MacroZoopl""""";4,03067E+11;6,19562E+11;82179635904;2106892796;8104388806;763309408,8;348476050,5;7456627,52;12885941,61;1113483,04;905579,21;6089354,94;4833430,38;434446,93;1092043,8;80837370,04;106878583;373795745,5;917728610,7;264547997,3;639628969,3;53908767,4;54369692,64;166599,78;215763,5;257249,5;1975325,71;590603,14;398880,61;380229,2;2602453,59;233833,89;2098561,85;2855739,94;86166,35;374145,26;291673,82;313758,57;;1,11867E+12
"Jelly""""";5,56254E+11;1,03569E+12;1,31576E+11;3117072618;11235952707;1122369146;422655808,9;10103574,64;22346812,73;1726067,83;1688277,94;8648444,88;6404746,16;1080142,69;1355888,79;94542487,55;120533899,4;419301254,3;1029304286;296724166,8;718054700,1;62231193,49;66557953,01;397974,81;447071,65;554448,23;5414808,4;1480269,26;963984,29;1076944,49;7539686,15;581514,13;5248514,46;7221568,42;243219,51;1094623,13;853684,35;918703,37;;1,74231E+12
"SupBenth""""";2,24162E+11;1,17498E+11;25664029214;763309408,8;2918159779;175739915;99212092,55;3086783,49;5999517,43;530783,7;520691,51;2319461,65;1818247,63;297736,65;603511,54;24766118,83;31652440,55;110107363,9;270295805,5;77915457,48;188613377,6;16335447,39;17415237,42;384526,01;127840,99;359357,69;1490359,63;753786,44;308467,87;300210,42;2027591,18;187907;2691938,78;3603560,27;83138,23;295416,56;231394,03;247223,7;;3,72045E+11
"OSPelaFish""""";39480667610;60761195560;8438575286;187640950,3;591718132,5;53421895,99;11924678,42;605243,54;2047256,62;140045,76;179339,23;536000,4;327250,88;143373,08;98060,93;2489700,72;2289914,41;7502373,69;18384275,92;5301508,23;12960858,1;1472195,99;2318361,32;99239,4;53030,98;113528,25;766783,03;249747,23;135640,29;156199,12;1091716,71;83990,41;939162,64;1162334,9;38273,63;159911,15;124911,68;134435,32;;1,09587E+11
"Shri""""";1262223074;2490411960;315029653,1;7456627,52;26269294,06;3086783,49;1124023,72;237435,83;140599,88;44465,17;42065,71;57135,19;62153,9;11061,84;142583,39;260419,59;293412,51;984845,39;2415491,32;695050,7;1699442,36;162229,88;194645,26;154296,55;11009,1;132666,44;55156,59;185819,56;40952,08;13410,71;48245,55;28330,85;706305,69;804546,73;11278,16;7413,94;6420,41;6143,08;;4115256450
"BenthPelaCepha""""";1915765012;3386766475;412565870,6;12885941,61;58101713,09;5999517,43;3802048,01;140599,88;203640,29;21849,43;20858,46;85214,06;70625,69;10224,93;38974,74;954665,78;1242919,14;4353699,4;10708079,23;3072653,58;7439476,2;635701,9;661037,73;28720,56;5096,8;43807,61;48818,57;40354,46;14574,36;9594,46;60218,67;10853,8;226807,23;154931,78;4900,33;9952,34;7957,54;7156,43;;5826220543
"Mull""""";102823953,6;185312654,5;23307622,9;642394,06;2589101,75;306221,36;150049,02;25652,98;12605,44;3656,96;3998,7;5571,81;6018,16;997,97;15133,16;36392,87;44991,3;155393,25;381131,64;109681,45;266543,08;23638,54;25825,97;14505,86;1195,8;18192,9;4642,64;16030,7;4385,18;1152,34;3687,2;4124,99;98397,66;52906,52;1305,31;588,2;524,97;479,66;;316471350,4
