TI3;"Cet""""";"Sha""""";"Cod""""";"Jcod""""";"NseaMack""""";"Wmack""""";"Hadd""""";"Jhadd""""";"Herr""""";"Sprat""""";"Sande""""";"Sole""""";"OpredFish""""";"OpreyFish""""";"Cepha""""";"Zoopl""""";"Eupha""""";"Ocrus""""";"Seal""""";"Whit""""";"Jwhit""""";"Saithe""""";"NorPout""""";"Plai""""";"Brill""""";"SalTrout""""";"OMacroBenth""""";"Bird""""";"Jsaithe""""";"Gurna""""";"Jsha""""";"Polych""""";"HalTur""""";"RaySkate""""";"JraySkate""""";"BlueTuna""""";"HorMack""""";"Stur""""";"Echino""""";"EdiCrabLobs""""";"Phyto""""";"PlankMicroFlo""""";"MeioFau""""";"BenthMicroFlo""""";;SUM
"Hadd""""";0,01;0,09;0,19;0,17;0,03;0,05;0;0,15;0,13;0,09;0,15;0;0,19;0,17;0,15;0,01;0,05;0,2;0,02;0,09;0,18;0,03;0,16;0,05;0;0,01;0,15;0,03;0,02;0,07;0,03;0,09;0,02;0;0;0;0,05;0;0,06;0,02;0;0;0,01;0,01;;2,94
"HalTur""""";0;0;0,03;0;0;0;0,02;0,02;0,01;0,01;0,01;0;0,02;0,03;0;0;0,01;0,03;0,01;0;0,02;0;0,02;0,02;0;0;0,02;0,01;0;0,01;0;0,02;0;0;0;0;0,01;0;0,02;0,01;0;0;0,02;0,02;;0,45
"Herr""""";0,06;0,13;0,18;0,23;0,1;0,13;0,13;0,19;0;0,2;0,28;0;0,23;0,18;0,17;0,1;0,19;0,31;0,07;0,11;0,27;0,05;0,24;0,07;0;0,02;0,11;0,05;0,06;0,07;0,06;0,11;0,01;0;0;0,01;0,11;0;0,01;0;0,02;0,02;0;0,01;;4,3
"HorMack""""";0,05;0,08;0,08;0,08;0,05;0,05;0,05;0,07;0,11;0,1;0,11;0;0,06;0,07;0,07;0,06;0,09;0,13;0,05;0,05;0,11;0;0,11;0,02;0;0,02;0,02;0,03;0,03;0,01;0,03;0,05;0,01;0;0;0;0;0;0;0;0,01;0,01;0;0;;1,86
"Jcod""""";0,05;0,14;0,24;0;0,05;0,06;0,17;0,19;0,23;0,14;0,24;0;0,27;0,23;0,19;0,07;0,13;0,31;0,05;0,13;0,26;0,07;0,23;0,06;0;0;0,18;0,05;0,05;0,09;0,06;0,16;0;0,01;0,01;0;0,08;0;0,07;0,01;0;0;0;0;;4,23
"Jhadd""""";0,03;0,13;0,2;0,19;0,05;0,05;0,15;0;0,19;0,14;0,19;0;0,2;0,22;0,14;0,06;0,11;0,23;0,05;0,08;0,22;0,03;0,19;0,05;0;0;0,11;0,05;0,03;0,07;0,05;0,13;0,02;0;0;0;0,07;0;0,03;0,01;0;0;0,01;0,01;;3,48
"JraySkate""""";0;0;0,01;0,01;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0,01;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0;0,01;0;0;0;0;0,01;0;0;0;0;0;;0,16
"Jsaithe""""";0,02;0,02;0,03;0,05;0,03;0,03;0,02;0,03;0,06;0,05;0,05;0;0,05;0,03;0,05;0,02;0,03;0,06;0,03;0,03;0,06;0,03;0,05;0,01;0;0,01;0,02;0,02;0;0,01;0,01;0,02;0;0,01;0,01;0;0,03;0;0,01;0;0,01;0,01;0;0;;1,05
"Jsha""""";0,05;0,05;0,06;0,06;0,02;0,02;0,03;0,05;0,06;0,05;0,06;0;0,05;0,06;0,03;0,03;0,05;0,07;0,02;0,03;0,06;0,01;0,06;0;0;0;0,03;0,01;0,01;0,01;0;0,05;0;0;0;0;0,03;0;0,02;0,01;0;0;0;0;;1,14
"Jwhit""""";0,06;0,16;0,24;0,26;0,08;0,1;0,18;0,22;0,27;0,18;0,27;0;0,28;0,22;0,19;0,08;0,17;0,34;0,07;0,13;0;0,05;0,26;0,08;0;0,01;0,18;0,05;0,06;0,11;0,06;0,16;0,02;0;0;0,01;0,11;0;0,05;0,01;0,01;0,01;0,01;0,01;;4,76
"MeioFau""""";0;0;0,02;0;0;0;0,01;0,01;0;0;0;0;0,01;0,02;0;0,01;0,03;0,06;0;0;0,01;0;0,01;0,01;0;0;0,06;0;0;0,01;0;0,03;0,02;0;0;0;0;0;0,05;0,03;0,02;0,03;0;0,06;;0,53
"NorPout""""";0,05;0,14;0,2;0,23;0,07;0,08;0,16;0,19;0,24;0,17;0,27;0;0,23;0,2;0,17;0,06;0,11;0,28;0,05;0,11;0,26;0,06;0;0,08;0;0,02;0,17;0,05;0,05;0,09;0,06;0,15;0,02;0;0;0;0,11;0;0,03;0,02;0,01;0,01;0,01;0,01;;4,23
"NseaMack""""";0,03;0,05;0,02;0,05;0;0,1;0,03;0,05;0,1;0,09;0,09;0;0,06;0,03;0,09;0,06;0,09;0,1;0,02;0,05;0,08;0,01;0,07;0;0;0,02;0,02;0;0,03;0,02;0,02;0,03;0;0;0;0,01;0,05;0;0;0;0,01;0,01;0;0;;1,51
"Ocrus""""";0,07;0,17;0,28;0,31;0,1;0,13;0,2;0,23;0,31;0,19;0,31;0;0,34;0,27;0,27;0,11;0,24;0;0,09;0,15;0,34;0,07;0,28;0,07;0;0,02;0,28;0,06;0,06;0,1;0,07;0,22;0,03;0,01;0,01;0,01;0,13;0;0,14;0,05;0,05;0,06;0,06;0,07;;5,94
"OMacroBenth""""";0,02;0,1;0,17;0,18;0,02;0,03;0,15;0,11;0,11;0,06;0,15;0;0,22;0,18;0,15;0,01;0,07;0,28;0,05;0,08;0,18;0,06;0,17;0,05;0;0;0;0,03;0,02;0,1;0,03;0,17;0,02;0,01;0,01;0;0,02;0;0,14;0,05;0,02;0,03;0,06;0,06;;3,39
"OpredFish""""";0,03;0,13;0,25;0,27;0,06;0,08;0,19;0,2;0,23;0,13;0,24;0;0;0,24;0,24;0,05;0,14;0,34;0,06;0,15;0,28;0,08;0,23;0,08;0;0;0,22;0,05;0,05;0,11;0,05;0,17;0,02;0,01;0,01;0;0,06;0;0,09;0,02;0;0;0,01;0,01;;4,56
"OpreyFish""""";0,05;0,13;0,25;0,23;0,03;0,05;0,17;0,22;0,18;0,14;0,2;0;0,24;0;0,16;0,05;0,1;0,27;0,06;0,08;0,22;0,06;0,2;0,06;0;0;0,18;0,06;0,03;0,08;0,06;0,16;0,03;0,01;0,01;0;0,07;0;0,09;0,02;0;0;0,02;0,02;;3,98
"Phyto""""";0,01;0;0;0;0,01;0,01;0;0;0,02;0,01;0,01;0;0;0;0,01;0,02;0,05;0,05;0;0;0,01;0;0,01;0;0;0,01;0,02;0;0,01;0;0;0;0;0;0;0;0,01;0;0,01;0,01;0;0,05;0,02;0,03;;0,41
"Plai""""";0;0;0,06;0,06;0;0,01;0,05;0,05;0,07;0,05;0,07;0;0,08;0,06;0,02;0,01;0,02;0,07;0,01;0,05;0,08;0,02;0,08;0;0;0;0,05;0,02;0,01;0,05;0;0,01;0,02;0;0;0;0,02;0;0,01;0,01;0;0;0,01;0,01;;1,13
"PlankMicroFlo""""";0,01;0;0;0;0,01;0,01;0;0;0,02;0,01;0,01;0;0;0;0,01;0,02;0,06;0,06;0;0;0,01;0;0,01;0;0;0,01;0,03;0;0,01;0;0;0,01;0;0;0;0;0,01;0;0,02;0,02;0,05;0;0,03;0,05;;0,5
"Polych""""";0,05;0,1;0,15;0,16;0,03;0,03;0,09;0,13;0,11;0,08;0,13;0;0,17;0,16;0,11;0,03;0,09;0,22;0,05;0,06;0,16;0,05;0,15;0,01;0;0;0,17;0,02;0,02;0,07;0,05;0;0,02;0,01;0,01;0;0,05;0;0,09;0,02;0;0,01;0,03;0,03;;2,92
"RaySkate""""";0;0;0,01;0,01;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0,01;0;0;0,01;0;0;0;0;0,01;0,01;0,01;0;0;0,01;0;0;0,01;0;0;0;0,01;0;0;0;0;0;;0,16
"Saithe""""";0;0,01;0,06;0,07;0,01;0,02;0,03;0,03;0,05;0,03;0,06;0;0,08;0,06;0,06;0,01;0,01;0,07;0,03;0,07;0,05;0;0,06;0,02;0;0;0,06;0,01;0,03;0,02;0,01;0,05;0;0,01;0,01;0;0;0;0,03;0,01;0;0;0;0;;1,14
