"TI3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""MacrophSub"";""Grunter"";""MacrophSal"";""Epiph"";""BenthFeed"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""Pisci"";""SkipJack"";""CatFish"";""DuskyKob"";""Bird"";""Leer"";;SUM
"WI3";""Phyto"";""MicroZoopl"";""Copyp"";""Mysid"";""UpoAfri"";""FishLarv"";""ZooplEater"";""BenthMicroAl"";""MeioFau"";""Det"";""Graz"";""SuspFeed"";""CalliaKra"";""Sol"";""Herb"";""MacrophSub"";""Grunter"";""MacrophSal"";""Epiph"";""BenthFeed"";""FreeWat"";""AttWat"";""SedBaci"";""CarnMac"";""Pisci"";""SkipJack"";""CatFish"";""DuskyKob"";""Bird"";""Leer"";;SUM
""Phyto"";"2053958476835150,00";"4645330662112120,00";"26456394470560400,00";"7331051458855620,00";"27549079405492400,00";"188373632871,15";"3862465652552190,00";"0,00";"24799383545843,90";"2577997104129520,00";"87293484175738,10";"221058197688759,00";"5252596659424,51";"248458361620,02";"5106223117536,82";"2023067865813,33";"18055648308378,40";"319260307326,42";"32000833588160500,00";"24434229644122,80";"30176439697425,40";"497640259318,71";"814231072132,29";"2029514236508510,00";"183303021026422,00";"99601622676485,80";"65458226915653,20";"119426776523839,00";"5033452928948240,00";"155543233808211,00";;"114583678099442000,00"
""MicroZoopl"";"3096887108074750,00";"40468475918026,90";"292936352995806,00";"302449691620461,00";"74419017176961,00";"65641484380,56";"870207966501166,00";"0,00";"1321798426,78";"106688260807,26";"5140204592,93";"54348934003,52";"67701771,70";"0,00";"149381188690,95";"0,00";"28537721338868,50";"0,00";"1884342609767,46";"821231884794909,00";"89558614281824,40";"29370083357253,60";"47945323,02";"119563560952,73";"1684714363808,41";"13202212728912,00";"391385439734238,00";"2666222636223,48";"838582193622000,00";"1564993941938,80";;"6897539236775860,00"
""Copyp"";"30865793548987100,00";"512638617742661,00";"2687456348061820,00";"2880781634695900,00";"1977409700357170,00";"788338138071,35";"11616797278692300,00";"34566315727222,80";"204307817156,75";"649109387027199,00";"98381514129,52";"162286033081787,00";"109281614133,43";"229514631,00";"27631973893523,80";"1856004435,00";"235971922262913,00";"292896030,00";"36064548545849,80";"7014798638281390,00";"530590352218165,00";"242617074570174,00";"10775243904895,80";"23639751428473,10";"18219269077077,10";"195111859409670,00";"3231274718691410,00";"17206268498135,10";"6632718979942460,00";"9942395945787,23";;"69614604548541700,00"
""Mysid"";"10996577188283400,00";"680511806146037,00";"3703862101751880,00";"1822403102568300,00";"2786657160991980,00";"342650149450,47";"5380276727330260,00";"29179760813769,90";"189360213379,49";"464329544829187,00";"220717588765,05";"62786852974018,80";"75749104038,11";"38252438,50";"4949148241950,70";"309334072,50";"63405598756706,30";"48816005,00";"83748788129403,60";"1875303035700540,00";"139727297098186,00";"65235896485959,20";"1866465832826,82";"19794612824689,10";"12292143645096,50";"104179998186717,00";"867738980280586,00";"15183783106255,80";"2415344430832940,00";"9499225713032,69";;"31605682523981900,00"
""UpoAfri"";"41323619108238700,00";"167442788648162,00";"2542383900459220,00";"2786657160991980,00";"44969324464381,50";"531249621769,40";"7028494262398490,00";"6279050863079970,00";"21965930615980,20";"1854018400674210,00";"227498281209,43";"12150161397886300,00";"681413778463,54";"28398978732,65";"3220682923654760,00";"229652651949,17";"628735899397255,00";"36241481305,99";"85546791764344,20";"42736209427342600,00";"520798823395779,00";"611262405892257,00";"1343197005503030,00";"3908927330686210,00";"21043592861895,00";"139882192135121,00";"8157020406965630,00";"40360573778381,60";"17409310200607800,00";"22803157219558,60";;"153046278323455000,00"
""FishLarv"";"125582421914,10";"65641484380,56";"450478936040,77";"152288955311,32";"236110943008,62";"4100299,29";"55246244732,65";"6184704907,36";"37203670,58";"3129503285,12";"21938965,45";"17634357529,58";"1031364,59";"41065,42";"4751039626,77";"332081,67";"889379448,51";"52405,80";"8042398822,29";"61734223189,33";"3063574943,63";"887641922,20";"1927978164,35";"4328806955,41";"994271681,68";"1801076944,32";"11779810733,81";"2483267110,88";"171843933006,87";"1572114257,62";;"1388461767770,55"
""ZooplEater"";"7081187029679020,00";"2393071907878210,00";"18254967152230700,00";"6575893777848100,00";"8590381876264820,00";"151927173014,79";"2033351500123550,00";"2507129540225360,00";"271229421645,12";"19811651477103,60";"832859629713,31";"18588787678231,30";"9256180353,33";"369536333,24";"14316612665069,90";"3006807393,75";"94948564199405,00";"474504226,39";"306078222276823,00";"2561129393297430,00";"104694019069113,00";"85098014406922,10";"14597912250554,00";"1595629273816390,00";"47669600101235,00";"80525887278315,90";"1133921512219710,00";"121856778182286,00";"9688692281666730,00";"76666458190159,50";;"63401476876277900,00"
""BenthMicroAl"";"0,00";"0,00";"34566315727222,80";"22695369521821,00";"4883706226839980,00";"10823233587,88";"1595446071052500,00";"321403948758087,00";"66163297257613200,00";"830195694192537000,00";"320594041377606000,00";"4913235658960790000,00";"11072369553138000,00";"332617233047963000,00";"380334319312809000,00";"1178049890533,04";"7948761504055,56";"185908034254,81";"12382252430016700,00";"57741207215429900,00";"0,00";"0,00";"182168797180303000,00";"1895941058912500,00";"88951996252921,20";"13334740959072,00";"24158526059007,00";"49760647909237,80";"18015380877125,60";"41717153981280,70";;"7115503891507720000,00"
""MeioFau"";"28932614136817,90";"2313147246,86";"204307817156,75";"147280165961,82";"17084612701318,00";"65106423,51";"172600541046,89";"66163297257613200,00";"30960680037796,00";"275399789917162,00";"70544725416515,80";"1621545543123920,00";"2438279720198,55";"73014099088726,80";"110435871068079,00";"464329507,22";"15163531986639,30";"73275832,06";"450845640763069,00";"402474457492670,00";"0,00";"658593249054,95";"318718792854288,00";"44320479583605100,00";"10398844752460,00";"90369578410880,10";"56426970357253,80";"19384432969637,50";"653501352373202,00";"9376196042673,49";;"114741978552064000,00"
