"TI3";""Rast"";""Scomber"";""Caran"";""Lpisc"";""Cepha"";""Tuna"";""Mamm"";""Zoopl"";""Jpela"";""Phyto"";""Spela"";""Sha"";""Shri"";""TraFish"";""Sdem"";""Lutja"";""PonyFish"";""Benth"";""Pomf"";""Nemi"";""FalTrev"";""SergShri"";""Jcaranx"";""Scian"";""Saur"";""Plecto"";""Silla"";""DemPisc"";""DemBenth"";""Jsaur"";""Jnemi"";""Ari"";""Pria"";""ShellFish"";""Ray"";""Cucu"";""CrabLobs"";""Jelly"";;SUM
""Sha"";"109737,70";"33,98";"2034,90";"21,66";"21290,45";"30,14";"10434,24";"218268307,88";"54676,07";"112995911,63";"271473,55";"17,04";"4998,22";"302018,33";"16930,09";"45,95";"7285,16";"15752402,26";"246,87";"3806,59";"280,12";"9025,54";"23483,84";"155,77";"513,92";"56,08";"442,15";"200,70";"1702,27";"20400,38";"24600,96";"379,96";"7787,27";"849258,51";"329,06";"1,48";"100251,29";"10840206,04";;"359700778,02"
""Shri"";"56419561,78";"4280,51";"264411,44";"4401,84";"2371883,24";"5789,82";"2499473,50";"213657278259,00";"6105126,46";"12946600408,60";"136029622,10";"6426,28";"981244,13";"263844061,13";"2640462,23";"10146,02";"1143244,56";"14274312515,86";"39259,95";"702255,30";"34359,80";"1782357,01";"2616896,94";"74855,70";"155263,10";"48398,57";"376567,67";"41777,99";"1118530,00";"2272142,23";"2739795,72";"311377,79";"1218827,53";"806200083,51";"284975,93";"157,14";"89280963,93";"1206847705,36";;"243466667869,65"
""TraFish"";"3076046670,33";"1422787,21";"87318917,10";"44277,61";"980297754,16";"41626,11";"457560994,89";"1461402035753,63";"2564593795,49";"5305648126698,04";"7753075411,78";"345163,80";"234528054,34";"3548819167,66";"788743045,07";"371133,87";"343048307,23";"142178596420,64";"10961007,30";"180380010,61";"12753360,57";"422018098,17";"1101229516,68";"4053513,99";"6903512,83";"2999922,77";"23302493,38";"1506235,88";"66538535,21";"956885733,62";"1153982326,64";"19233277,40";"346357353,00";"6778494689,15";"17634622,34";"566,76";"5540875473,63";"508636369077,94";;"7454347495306,85"
""Sdem"";"150560218,57";"7665,49";"473175,46";"12095,13";"3577322,36";"13831,21";"6120298,65";"602848118193,64";"9183365,21";"20019023708,62";"361893440,21";"18139,38";"2200385,19";"739446604,76";"5263679,94";"25755,77";"2284196,92";"40078719247,54";"79698,84";"1526998,50";"57511,40";"4016872,22";"3929308,56";"213025,44";"419843,87";"144222,62";"1121865,35";"104869,70";"3261415,43";"3407773,80";"4108400,36";"926006,83";"2434186,12";"2270440843,00";"849110,06";"236,14";"266400010,73";"1808068532,90";;"668598452055,94"
""Lutja"";"105968,58";"37,15";"2309,44";"35,67";"22296,25";"31,30";"14568,56";"191819939,12";"56121,41";"117117357,24";"263633,78";"39,38";"6764,01";"278350,40";"20604,61";"87,36";"8785,52";"13949270,88";"294,43";"4914,05";"297,62";"12307,76";"24170,45";"391,38";"1026,03";"208,31";"1642,23";"327,97";"5097,60";"20953,19";"25258,21";"1383,47";"9315,42";"749711,55";"1228,10";"1,43";"382491,99";"11109743,64";;"336016965,53"
""PonyFish"";"39294967,19";"1950,32";"121986,15";"2920,39";"934978,50";"3397,39";"1562939,05";"157324930564,36";"2397563,32";"5227242043,75";"94452228,09";"4683,32";"571622,28";"192964672,82";"1370518,15";"6589,14";"594207,92";"10459384392,05";"20631,48";"397052,41";"14884,26";"1041204,27";"1025867,09";"55217,94";"107343,04";"37393,35";"290871,23";"26784,69";"845873,91";"889977,46";"1073008,70";"240154,35";"632932,05";"592518094,86";"220150,25";"61,14";"69062991,70";"472338675,90";;"174486681394,28"
""Benth"";"226160259645,73";"110791577,33";"6802627131,70";"2042736,33";"76529583166,84";"1444433,72";"35409623486,53";"54113375204691,80";"200240319787,38";"414211832775678,00";"571792275330,61";"25878946,56";"18239399325,82";"204381732354,67";"61454036179,56";"26736102,53";"26729537890,80";"7123089708578,07";"853166744,50";"14037759728,36";"994467375,89";"32815225833,11";"85984239736,82";"304056477,89";"508409131,02";"227234363,94";"1765027625,00";"108478914,64";"5027003036,25";"74714426278,19";"90104007848,33";"1456564597,56";"26967288519,06";"303729451722,74";"1335701120,62";"31,20";"419753675060,85";"39715049213261,70";;"517651939374451,00"
""Pomf"";"1404809,64";"75,88";"4818,29";"110,03";"37352,12";"123,79";"58488,38";"5576866603,11";"95202,63";"206863344,92";"3379266,43";"176,33";"21811,08";"6850629,57";"53132,56";"245,36";"22923,87";"370942062,83";"788,15";"15168,83";"580,03";"39665,83";"40767,08";"2046,58";"3955,99";"1393,29";"10846,15";"986,04";"31529,26";"35362,52";"42633,87";"8958,87";"24211,59";"21008539,93";"8202,86";"2,34";"2573425,03";"18764780,65";;"6209215021,69"
""Nemi"";"18985017,79";"1278,46";"79113,58";"1441,94";"687526,18";"1848,84";"809649,02";"73201242507,19";"1770336,42";"3775252151,46";"45728907,71";"2175,19";"312113,47";"90190005,30";"814399,20";"3276,03";"352935,48";"4882699035,95";"12135,07";"221490,44";"10147,50";"567308,30";"758571,12";"25375,63";"51593,95";"16745,59";"130271,28";"13547,15";"384127,14";"658520,87";"794035,16";"107616,19";"375293,78";"276041564,25";"98599,80";"46,92";"30911473,85";"349714309,88";;"82679826493,10"
""FalTrev"";"1088072,97";"30,21";"1910,91";"86,56";"7463,78";"76,81";"39928,94";"4573291695,52";"18341,78";"46563234,16";"2608972,78";"140,06";"13362,14";"5579595,25";"26838,65";"173,61";"11576,64";"302663983,97";"406,02";"8879,06";"177,01";"24684,53";"7781,22";"1651,32";"3076,68";"1173,29";"9125,82";"684,74";"25958,05";"6675,40";"8033,53";"7522,68";"12098,05";"17195804,57";"6906,09";"0,00";"2169167,99";"3504858,29";;"4954910149,11"
""SergShri"";"45201842,91";"3472,16";"214773,17";"3559,72";"1933791,80";"4653,77";"2012217,06";"170821264477,15";"4964023,62";"10522135884,31";"108998445,56";"5157,45";"792158,67";"211009049,08";"2142331,85";"8205,17";"925514,91";"11413991594,12";"31732,66";"567308,30";"28210,89";"1438776,82";"2127816,73";"60540,41";"124305,10";"38790,30";"301882,23";"33360,78";"897241,00";"1847500,98";"2227752,81";"250005,80";"985604,90";"644607074,12";"228419,27";"125,26";"71570870,74";"981295058,23";;"194844273529,80"
""Jcaranx"";"66047509,64";"1052,62";"71346,66";"4561,69";"31623,24";"4312,32";"2253953,47";"282731298745,92";"45969,98";"651289606,72";"158135172,47";"8387,09";"726915,82";"344134223,96";"1309769,52";"10071,02";"569926,16";"18692226029,74";"20383,54";"474106,95";"5558,01";"1329885,46";"12569,64";"100181,79";"178283,51";"71422,55";"555522,13";"39813,44";"1580450,01";"8235,89";"9407,97";"458027,57";"604671,08";"1062543024,41";"420425,74";"0,00";"132050080,74";"3024722,93";;"303851655951,39"
""Scian"";"1020618,32";"310,16";"18615,41";"158,42";"198791,74";"255,64";"92625,79";"2013001434,67";"512741,59";"1058354642,93";"2524933,13";"122,39";"45745,15";"2786790,87";"156218,66";"358,77";"67488,59";"145418315,51";"2251,24";"34891,50";"2594,93";"83243,06";"220399,94";"1142,78";"4257,72";"413,12";"3257,68";"1543,55";"13117,60";"191350,04";"230727,44";"2777,79";"71162,06";"7836866,41";"2442,03";"13,91";"750576,40";"101619078,90";;"3335272275,82"
""Saur"";"1288152,92";"409,74";"25511,65";"270,70";"261777,41";"330,54";"142999,59";"2439925465,31";"663607,88";"1377963931,15";"3195227,28";"293,67";"69005,82";"3451756,42";"223916,73";"684,02";"95416,04";"176837958,62";"3164,79";"51593,95";"3516,21";"124305,10";"285253,61";"3096,52";"7492,09";"1488,57";"11729,46";"2488,29";"39023,51";"247659,43";"298623,77";"10088,33";"100778,37";"9516000,54";"8756,12";"14,61";"2713645,39";"131520867,98";;"4149096302,14"
""Plecto"";"405986,14";"117,06";"7084,98";"42,02";"77171,14";"95,05";"32126,30";"822659389,12";"199584,16";"410951232,68";"1003099,13";"24,03";"16132,86";"1124971,04";"57689,05";"104,16";"24928,90";"59278529,72";"835,98";"12559,19";"1005,68";"29092,72";"85707,06";"225,34";"1116,42";"6,84";"55,49";"474,53";"1690,40";"74474,10";"89813,77";"71,56";"26546,50";"3198436,41";"43,34";"5,23";"7172,25";"39586252,19";;"1338953892,53"
""Silla"";"3155492,21";"911,16";"55143,94";"331,13";"600276,40";"741,45";"250098,23";"6388971527,24";"1552349,01";"3196370268,55";"7796678,12";"189,49";"125522,56";"8738435,02";"448746,14";"821,11";"193914,16";"460441989,13";"6507,69";"97703,46";"7822,13";"226411,67";"666626,55";"1776,92";"8797,10";"55,49";"450,48";"3746,42";"13219,42";"579255,93";"698566,94";"571,57";"206614,79";"24841010,73";"351,05";"40,73";"59311,13";"307899393,68";;"10404021668,94"
""DemPisc"";"529120,66";"179,41";"11232,36";"170,00";"110265,98";"152,71";"73697,44";"974054570,14";"277667,57";"581240759,84";"1315035,05";"215,03";"34814,99";"1412096,14";"104869,70";"409,97";"44641,15";"70747118,24";"1479,06";"25400,91";"1467,30";"62551,47";"119440,31";"2104,84";"4665,54";"1186,32";"9366,04";"1473,12";"29094,12";"103653,48";"124971,75";"7922,26";"47034,61";"3802909,27";"6976,56";"7,50";"2166867,20";"55014872,33";;"1691490460,34"
""DemBenth"";"16467712,35";"4760,88";"289363,07";"1785,46";"3131049,60";"3873,74";"1373267,69";"33368774396,54";"8096179,32";"16694267291,99";"40688250,95";"1337,50";"683546,11";"45745242,95";"2391704,65";"4672,80";"1033845,89";"2404218843,43";"34682,18";"528174,82";"40791,22";"1233706,37";"3476990,03";"13117,60";"53657,33";"3099,06";"24235,60";"21335,69";"131028,99";"3021119,69";"3643355,81";"20993,11";"1101009,40";"129723860,99";"18389,95";"212,46";"5515446,78";"1605770632,57";;"54341552964,56"
""Jsaur"";"45907278,09";"727,88";"49346,67";"3165,59";"19646,91";"2995,29";"1565726,73";"196540694060,12";"26940,92";"442468538,45";"109913232,01";"5828,68";"504920,50";"239221433,40";"908739,68";"6984,40";"395545,54";"12993813265,77";"14145,01";"329260,43";"3814,52";"923750,49";"6588,71";"69581,83";"123829,71";"49649,40";"386170,62";"27640,93";"1098588,98";"3860,43";"4291,56";"318370,84";"419488,39";"738624381,54";"292258,95";"0,00";"91795279,15";"1112600,17";;"211211111928,29"
""Jnemi"";"55362158,19";"877,02";"59460,54";"3816,44";"23234,18";"3611,75";"1888005,89";"237024158742,01";"31511,14";"531600013,53";"132550345,68";"7028,85";"608843,49";"288495581,66";"1095573,43";"8419,40";"476892,76";"15670262234,49";"17053,55";"397017,58";"4590,59";"1113876,41";"7526,38";"83900,89";"149311,88";"59875,85";"465711,29";"33325,80";"1324856,66";"4291,56";"4736,63";"383941,25";"505721,27";"890765787,98";"352456,45";"0,00";"110702837,43";"1148542,20";;"254714161712,08"
