TI3;"Tuna""""";"BlueWhit""""";"HorMack""""";"Mack""""";"Anch""""";"Sard""""";"Squid""""";"Shri""""";"MacroZoopl""""";"Lhake""""";"Shake""""";"LdemFish""""";"BenthFish""""";"SdemFish""""";"BenthCeph""""";"BenthInv""""";"SupBenthZoopl""""";"AngFish""""";"Magr""""";"DogFish""""";"Polyhae""""";"Oinv""""";"Ray""""";"MesoZoopl""""";"MicroZoopl""""";"Phyto""""";;SUM;;
"DogFish""""";5091931,16;287086789;177349813,4;258630289,3;123785196,5;253596557,2;8489391,3;127658317,1;1092359763;3211482,39;1782036,42;4406893,95;16357974,3;248051181,4;19680853,74;72045327,27;853743037,6;2382838,77;1497710,6;3365575,74;153756417,6;36503681,8;2190686,02;1354876751;1236253582;15509016568;;21853170646,32;;
"HorMack""""";697821150,9;19914091796;12253702278;22626916440;45276325278;1,43751E+11;649358937,3;4972849515;83475154578;354682673,5;121016875,1;269024008,8;584686629,5;16140091681;870628528,6;2022828861;69737001607;218338288,8;65185800,59;215353344,9;6794861449;1622791211;49111661,14;3,89095E+12;3,99025E+12;1,39155E+12;;9705435021850,31;;
"LdemFish""""";6538903,48;474048935,9;269024008,8;365642765;197431884;442999954,7;12491319,13;200329941,2;1563049676;3613086,05;2992997,8;6492432,59;27296627,1;414918474,8;33185785,98;110036472,8;1006714239;3169320,47;2493689,99;5351228,37;281881474,4;69008079,36;3940247,4;6102883080;5578627846;19317847832;;36502010302,98;;
"Lhake""""";8885989,54;564589534,3;292091613,5;406147007,9;145048342,2;269185783,2;13463407,85;101624616,9;1625160725;1854634,64;2983394,62;2975482,63;16112763,37;450478808,1;28096276,53;41720698,68;894533806,8;2089779,28;1909622,47;3211482,39;271365309,6;56389447,68;2103594,98;3040555425;2167651154;15214742041;;25624970742,20;;
"Mack""""";638801545,4;21883393543;13309950847;23579939064;44278017007;1,38509E+11;618098289,3;4417153752;93182579770;290105005,7;113552746,1;215083979,4;516123517,6;17530871203;829591407;1636770545;71143050539;176339577,1;56105820,3;184735920,9;6921385637;1543560665;35246380,35;3,66279E+12;3,74888E+12;1,54894E+12;;9402221462208,09;;
"MacroZoopl""""";2501858561;74219252676;44192728894;83864321793;2,30073E+11;7,57843E+11;2253924832;15235134055;2,99086E+11;1044746180;413058288,6;827496887,3;1745378418;59054080813;2809165133;5489792529;2,39016E+11;622315522,2;188800959,6;702231276,4;23426623334;5278379612;108122849,1;2,15501E+13;2,21544E+13;4,89249E+12;;50447022965557,40;;
"Magr""""";1131857,35;54579457,88;34510129,72;50495238,27;19357289,39;38727161,03;1918087,34;40351174,43;188800959,6;1227614,45;429180,85;1320188,82;4541655,53;51285900,13;4587445,97;22206818,65;163915742;801518,43;350141,51;962813,96;31198344,19;8269476,58;531020,51;211537947,3;180392636,8;2397929237;;3511359037,21;;
"MesoZoopl""""";4657193692;2,39672E+12;2,51768E+12;4,02907E+12;4,63737E+12;1,04667E+13;20692199411;19281630076;2,6339E+13;2389007834;938285496,2;3948924346;2190485727;2,08091E+12;3176945684;8467621878;2,04037E+13;1014584695;258546380;1064546018;21986106833;5308530416;189120459,6;3,37841E+13;4,00707E+13;6,34695E+14;;781516288273540,00;;
"MicroZoopl""""";3239273439;1,79969E+12;1,87776E+12;2,99911E+12;3,5079E+12;7,9494E+12;15283951716;13837402528;1,96928E+13;1238657802;729116110,8;2625236634;1604874780;1,56025E+12;2697318022;4424117061;1,51269E+13;451282029,1;160349010,5;706430618,3;24601833359;5358753560;87732254,39;2,91423E+13;3,34813E+13;4,75182E+14;;592396513659073,00;;
"Oinv""""";42220198,71;1231878401;954583065,5;1543560665;751126417,6;1593548265;60544681,06;1256309496;5864866236;40278176,91;11003360,47;40592987,86;125167743,6;1147926309;113233857,1;755361804,4;6594156756;26739211,91;9188307,31;26074058,43;498775918,1;132426346,3;10771189,43;4825936742;6698441949;99533952802;;133888664945,48;;
