"TI3";""Cepha"";""Pisc"";""Mcarni"";""InvFeedOne"";""InvFeedThree"";""SuspFeed"";""Deca"";""Gastro"";""Bird"";""InvFeedTwo"";""Dpunt"";""HerbFish"";""PlFish"";""Mugil"";""Blen"";""Polych"";""Crus"";""Amph"";""MacroAlga"";""Echino"";""InvFeedFour"";""Zoopl"";""Macropl"";""Phyto"";""PelBaci"";""Proto"";;SUM
""Blen"";"1594358151,57";"69254523,54";"215676154,13";"4305884772,23";"2591565060,60";"18402808578,76";"14248071324,12";"41028583685,82";"3768383,84";"542663393,77";"293340408,22";"7103072074,88";"392466847,67";"34869496,82";"779259539,53";"36553852320,06";"41145828986,65";"32907118884,84";"79659773284,32";"20539057757,04";"31146612,79";"20273538972,43";"931633778,16";"25424966885,20";"15019986700,65";"20615800038,45";;"384708346616,08"
""Polych"";"216480143093,83";"4125169398,57";"15099065523,25";"447786363064,04";"222895547136,07";"2358341713679,64";"1137354797476,16";"2431988361274,91";"269874913,05";"54394309575,55";"24819474423,48";"323277789707,60";"149345326868,00";"4734637770,94";"56492317221,92";"2829129898663,05";"2306850865368,04";"1914084994225,81";"6764818304916,92";"1053822578896,79";"2553363618,27";"4002062204792,16";"218671841463,22";"7880138713589,11";"4898158286857,28";"3536152226709,22";;"42853848170226,90"
""Crus"";"152919138297,68";"4102745678,51";"12645478892,81";"467419418286,59";"349484543118,68";"2202787604580,19";"1991967148180,39";"1020757008484,22";"388283700,90";"48168090532,47";"9916271455,53";"84710451968,28";"68192984591,57";"1694027811,79";"71070068249,66";"2578245084823,10";"832974414968,55";"810155808516,43";"12843551066379,60";"472002590451,00";"5102938646,30";"1466240932706,87";"80205954521,90";"3449881847514,19";"1718401218654,34";"1709922056457,92";;"32452907177469,50"
""Amph"";"89871604025,63";"2815894063,44";"7479330367,68";"265847871087,99";"199938011399,89";"1252227060474,43";"1177879175298,02";"700470033107,37";"252987262,64";"28364822593,48";"6612169250,43";"74076111718,94";"27146595878,10";"1086627722,25";"41881787671,61";"1576305289362,43";"596956911538,43";"540349945811,88";"7384192106469,03";"332715086129,52";"2957873340,48";"931329818852,85";"31585581518,92";"1579928260042,72";"875451474767,41";"915185753289,59";;"18642908183045,10"
""MacroAlga"";"337997384778,14";"11796901116,77";"38924432845,48";"520317484127,78";"178720201779,77";"1182472680953,93";"1002855667856,62";"10816070034318,50";"511519555,32";"105231861135,43";"82514724041,52";"1987766220253,76";"44106139913,71";"5451887509,83";"115868761140,83";"6366887816392,39";"10815621950635,40";"8439076693107,47";"2036749457646,99";"5349774096455,85";"881228501,71";"1893432865111,82";"197201130026,46";"3162589057247,58";"1638590196814,24";"2518359942092,47";;"58849770335359,90"
""Echino"";"43546667560,56";"1184943109,43";"4101008803,43";"147818137901,44";"110267980047,14";"659274122624,49";"601393402465,02";"354756720785,48";"116824922,08";"14512759099,38";"2897419007,34";"34476551255,74";"8657196404,78";"268445761,75";"22406244825,86";"743874761574,20";"298106899232,21";"285184359539,59";"4012330572341,88";"169377396510,97";"1550044483,91";"347463075118,46";"10289243422,22";"737297961561,39";"494543785434,39";"246337068011,62";;"9352033591804,79"
""InvFeedFour"";"16104829,58";"1518891,60";"6400393,39";"66909521,04";"18408951,95";"214191528,13";"121387405,43";"1270456208,65";"42237,54";"7734447,32";"7652741,39";"240309796,43";"4585842,95";"972807,09";"14157551,27";"750989299,49";"1342878591,13";"1056383335,89";"275383906,78";"645851868,30";"132934,21";"529667719,97";"23901385,67";"389577611,89";"336458505,85";"305472736,09";;"7647531049,04"
""Zoopl"";"305988994481,88";"1484044314,24";"2451720340,54";"229522042869,47";"74329475282,99";"1828744294997,45";"673682437346,06";"1321028728776,95";"76259827,34";"60624690006,21";"30126440930,19";"99507968748,79";"479606049442,89";"8133130267,46";"23959636967,42";"3060400509546,95";"1003217480273,12";"864806260363,36";"1538414202903,36";"376418331378,33";"1377136071,93";"3728548447321,61";"610004969091,93";"15770042696277,40";"4376441962044,49";"9969427878988,10";;"46438365788860,50"
""Macropl"";"1622239538,16";"91864681,98";"252379816,27";"4619389406,30";"1729398097,22";"72749085822,10";"11804035464,04";"12237842785,37";"7071022,02";"311461608,33";"133557960,32";"923457742,21";"822595096,81";"290029786,59";"423469899,16";"64315247489,18";"21106830137,34";"11280564828,19";"61625353133,27";"4287184759,26";"23901385,67";"234617295804,59";"1411272256,71";"99225390934,73";"112305676134,70";"136117982970,33";;"854334578560,86"
""Phyto"";"102594655907,24";"3372169448,38";"7431073347,62";"126126315178,89";"55461064814,40";"2462360826604,71";"279584527195,19";"872436903322,83";"208249232,80";"20559643279,61";"11156316135,21";"112642187781,67";"79328515900,73";"10243641035,31";"13868163755,56";"2781225428325,57";"1089436372899,22";"677112111446,88";"1185970896467,84";"368648980780,70";"467493134,27";"7278481244435,73";"119070469121,68";"4230911364424,00";"2976769211003,06";"6712737059976,28";;"31578204884955,40"
""PelBaci"";"71737713838,67";"1294219121,24";"1259429163,18";"35731340135,40";"29308153693,63";"826100987435,41";"190672785915,78";"466027330972,97";"71796563,83";"14650620790,52";"7735353128,35";"64296024751,92";"86505280124,95";"3548241754,07";"6827266682,11";"1440634790252,14";"452210847014,30";"312661240988,36";"512059436504,45";"206059910597,66";"336458505,85";"1683246908478,65";"112305676134,70";"2480641009169,21";"264797942111,34";"4034746450354,52";;"13305467214183,20"
""Proto"";"131382487790,84";"1064932359,89";"3561734568,10";"172226490189,04";"39280327772,28";"1536337562933,86";"204190813504,40";"575098435735,14";"66796862,44";"25435739237,08";"12286410909,78";"20220543089,98";"118253603114,86";"4941708606,21";"11244981839,15";"1248053727073,84";"539975386249,87";"392222465695,54";"944384978284,68";"123168534005,81";"366567283,30";"4601274405686,82";"163341579564,40";"6712737059976,29";"4841695740425,43";"3324201339187,18";;"25747014351946,20"

