TI3;"BalWhale""""";"SPelaInvFeed""""";"ScadMack""""";"Sard""""";"SMBathyInvFeed""""";"MBathyPelaInvFeed""""";"SBathyPelaPred""""";"MesoPela""""";"Cepha""""";"CarnZoopl""""";"ToothWhaleDolph""""";"LDeepShaRay""""";"LCoastShaRay""""";"BonShad""""";"MullOHerb""""";"MDemInvFeed""""";"SDemPred""""";"SDemInvFeed""""";"Benth""""";"Turtle""""";"LDemPred""""";"ProdPrim""""";"Bird""""";"LPelaPred""""";"CatFish""""";"Crus""""";"SPelaPred""""";"MDeepShaRay""""";"MCoastShaRay""""";"LTuna""""";"GAfriThre""""";"MDemPred""""";"LessAfriThre""""";"LBathyPred""""";"LBathyPelaPred""""";"Jack""""";"SpaFish""""";"HerbZoopl""""";"STuna""""";"Croak""""";"RoyThre""""";"Group""""";"LDemInvFeed""""";;SUM;
"LBathyPelaPred""""";0,02;0,01;0,01;0,03;0,01;0,08;0,05;0,04;0,02;0,03;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,04;0,03;0,01;0,01;0,01;0;0,02;0,03;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;;0,7;
"Jack""""";0,01;0,02;0,03;0,03;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,01;0,03;0,02;0,01;0,01;0,01;0,02;0,03;0,01;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,04;0,01;0,01;0,01;0,01;;0,68;
"SpaFish""""";0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,03;0,01;0,01;0,01;0,02;0,01;0,01;0,03;0,01;0,04;0,01;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;;0,48;
"HerbZoopl""""";0,03;0,03;0,04;0,04;0,06;0,08;0,03;0,05;0,02;0,04;0,02;0,03;0,02;0,05;0,06;0,04;0,02;0,03;0,04;0,03;0,02;0,05;0,03;0,04;0,02;0,03;0,05;0,03;0,02;0,05;0,02;0,02;0,02;0,05;0,06;0,02;0,07;0,04;0,05;0,01;0,01;0,02;0,14;;1,63;
"STuna""""";0,01;0,03;0,04;0,03;0,01;0,01;0,01;0,01;0,03;0,03;0,02;0,02;0,02;0,05;0,05;0,02;0,04;0,03;0,03;0,01;0,02;0,02;0,02;0,04;0,02;0,02;0,04;0,01;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,05;0,02;0,03;0,03;0,02;0,01;0,02;0,02;;0,97;
"Croak""""";0,01;0,02;0,01;0,02;0,01;0;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0;0,01;0,03;0,02;0,01;0;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,05;0,01;0,01;;0,54;
"RoyThre""""";0,01;0,02;0,01;0,02;0,01;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,01;0,01;0,03;0,01;0,01;0,01;0,05;0,02;0,01;0,01;0,01;0,01;0,05;0,04;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,06;0,03;0,02;0,01;;0,64;
"Group""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;;0,07;
"LDemInvFeed""""";0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0;0;0;0,01;0,02;0;0;0;0,01;0,01;;0,19;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TO3;"BalWhale""""";"SPelaInvFeed""""";"ScadMack""""";"Sard""""";"SMBathyInvFeed""""";"MBathyPelaInvFeed""""";"SBathyPelaPred""""";"MesoPela""""";"Cepha""""";"CarnZoopl""""";"ToothWhaleDolph""""";"LDeepShaRay""""";"LCoastShaRay""""";"BonShad""""";"MullOHerb""""";"MDemInvFeed""""";"SDemPred""""";"SDemInvFeed""""";"Benth""""";"Turtle""""";"LDemPred""""";"ProdPrim""""";"Bird""""";"LPelaPred""""";"CatFish""""";"Crus""""";"SPelaPred""""";"MDeepShaRay""""";"MCoastShaRay""""";"LTuna""""";"GAfriThre""""";"MDemPred""""";"LessAfriThre""""";"LBathyPred""""";"LBathyPelaPred""""";"Jack""""";"SpaFish""""";"HerbZoopl""""";"STuna""""";"Croak""""";"RoyThre""""";"Group""""";"LDemInvFeed""""";;SUM;
