TI3;"BalWhale""""";"Jwhit""""";"NorPout""""";"Sprat""""";"Mack""""";"Sande""""";"FiltFeedPelaFish""""";"SquidCuttFish""""";"CarnZoopl""""";"GelZoopl""""";"ToothWhale""""";"Jcod""""";"Awhit""""";"Ahadd""""";"Jsaithe""""";"Ashaite""""";"Hake""""";"Lgado""""";"Sgado""""";"Aherr""""";"HorMack""""";"Seal""""";"Acod""""";"MonkFish""""";"Plai""""";"Dab""""";"LRDab""""";"Flou""""";"Sole""""";"LemSole""""";"Witch""""";"TurBrill""""";"Meg""""";"Dragon""""";"SdemFish""""";"Bird""""";"Jherr""""";"HerbOmnZoopl""""";"Spur""""";"Ssha""""";"EpiFauMacroBenth""""";"InFauMacroBenth""""";"Jray""""";"Lcrab""""";"Shri""""";"SMobEpiFai""""";"SInFau""""";"MeioFau""""";"StarRay""""";"ThornRay""""";"SkateRay""""";"Jhadd""""";"Gurna""""";"Hal""""";"Neph""""";"SessEpiBenth""""";"BlueWhit""""";"LdemFish""""";"PlMicroFlo""""";"Phyto""""";"FishLarv""""";"CatFish""""";"BenthMicroFlo""""";;SUM;
"Witch""""";0;0;0;0;0;0;0;0,01;0;0;0;0;0;0,01;0;0;0;0;0;0;0;0,02;0;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0;0;0,01;0;0;0;0;0,01;0,01;0,01;0;0;0;0;0,01;0,01;0;0;0;0;0;0;0,01;0,03;0;0;0;0,01;0;0,01;0,01;;0,36;
"TurBrill""""";0,01;0,02;0,02;0,02;0,01;0,02;0;0,01;0,01;0;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;;0,63;
"Meg""""";0,01;0,01;0,02;0,02;0,01;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,02;0,01;0,01;0,01;0;0,01;0;0;0;0;0,01;0,02;0,02;0,01;0,01;0;0,01;0,01;0;0,01;0;0,01;0,02;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,01;0;0;0,03;0,01;0;0;0;0,01;0;;0,5;
"Dragon""""";0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,04;0,04;0,02;0,02;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,02;0,02;0,02;0,02;0,04;0,04;0,01;0,04;0,01;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,02;0,01;;0,92;
"SdemFish""""";0,01;0,03;0,02;0,03;0,01;0,03;0,01;0,03;0,01;0,01;0,01;0,03;0,03;0,02;0,02;0,01;0,01;0,03;0,03;0,02;0,03;0,04;0,03;0,05;0,02;0,04;0,03;0,04;0,05;0,06;0,07;0,05;0,02;0,04;0,03;0,01;0,02;0,03;0,01;0,02;0,03;0,03;0,02;0,03;0,03;0,03;0,03;0,05;0,04;0,05;0,05;0,02;0,04;0,02;0,02;0,02;0,01;0,07;0,02;0,01;0,01;0,02;0,02;;1,78;
"Bird""""";0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,01;0;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0;0;0;0;0;0;0;0,01;0,01;0;0;0,02;0,04;0,02;0,01;0;0;0;0;0;0;0,01;0;0;0,01;0;0,01;0,01;0,01;0,01;0;0;0,01;0,01;0,01;0,01;0,01;0;0;;0,51;
"Jherr""""";0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,02;0,02;0,01;0,01;0,03;0,01;0,03;0,01;0,01;0,02;0,01;0,02;0,01;0;0,01;0,01;0,01;0,01;0;0;0;0;0,01;0,01;0,05;0,02;0,02;0,01;0;0,01;0;0,01;0,01;0,01;0,02;0,01;0;0,01;0;0,03;0,01;0,01;0,01;0,01;0;0,01;0,01;0,01;0,01;0,01;0;0;;0,65;
"HerbOmnZoopl""""";0,02;0,03;0,02;0,03;0,03;0,02;0,04;0,03;0,04;0,06;0,02;0,02;0,01;0,01;0,04;0,04;0,02;0,03;0,02;0,04;0,02;0,01;0,01;0,01;0,01;0,02;0,01;0,01;0,01;0,01;0,01;0,01;0,02;0,03;0,02;0,06;0,04;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,04;0,01;0,02;0,01;0,01;0,04;0,07;0,04;0,06;0,09;0,01;0,01;;1,53;
"Spur""""";0,01;0;0,02;0,02;0,02;0,01;0,01;0,01;0,01;0,04;0,01;0;0,02;0;0,01;0,01;0,01;0;0,01;0,03;0,01;0,01;0,01;0,01;0,03;0;0;0;0,01;0;0;0;0,01;0;0;0,01;0,01;0,01;0,02;0;0;0;0;0;0;0;0;0;0,01;0,01;0;0;0;0,01;0;0;0,01;0;0,01;0,01;0,01;0;0;;0,49;
"Ssha""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,01;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;;0,11;
