"TI3";""MarMamm"";""Tuna"";""PelaSha"";""PelaPred"";""Spela"";""Squid"";""Zoopl"";""Bird"";""BenthFish"";""FlatFish"";""PhytoEater"";""Mull"";""Crab"";""Scrus"";""Turtle"";""Cepha"";""GastroBivalv"";""Anne"";""Echino"";""BenthAlga"";""BillFish"";""BenthPred"";""DemSha"";""GroupSnap"";""Ray"";""Spar"";""BenthFeed"";""Shri"";""MeioBenth"";""Phyto"";;SUM
""Turtle"";"441392,89";"1743562,28";"2878,47";"308686,32";"48020457,19";"3480765,68";"145967686,12";"8847,22";"171473,50";"149372,95";"86744757,91";"875410,16";"981592,55";"7215672,61";"9341,68";"564397,58";"11491530,19";"3820419,78";"1383725,45";"6156751,09";"15100,99";"31592,58";"11632,63";"4552,85";"13118,24";"155373,71";"679498,86";"2222927,40";"4337124,29";"41133985,98";;"368143629,13"
""Cepha"";"54762863,09";"204721854,16";"365353,80";"34659878,20";"5127373858,71";"273100650,70";"16789021506,08";"717743,77";"11717720,65";"8602138,93";"9918262515,40";"97273608,51";"76705668,88";"769196027,28";"917146,07";"32354322,63";"1257877271,57";"355341294,80";"164253961,04";"302273823,51";"1884666,04";"3324116,29";"1023723,15";"400936,47";"962276,39";"11172692,03";"43582573,53";"216433836,72";"343368560,14";"2107040993,02";;"38208693581,56"
""GastroBivalv"";"824266704,13";"4438695331,06";"4426464,01";"929956482,67";"47037384239,67";"15014660050,16";"43958778107,10";"33898549,45";"226124729,79";"117261261,89";"24067106294,09";"429863090,33";"1122707326,44";"2948616539,72";"22983060,39";"1548156641,93";"5055820971,95";"1552655321,16";"487003905,05";"13459587573,64";"24121184,05";"16305914,54";"3233191,11";"13270544,27";"7727839,25";"199382598,88";"988048351,99";"914374993,88";"2617770814,47";"308151308057,82";;"476215496134,89"
""Anne"";"33637070,91";"185517184,04";"213215,61";"38251454,37";"3159103695,50";"727435809,02";"4827892410,35";"2853074,91";"138126494,24";"113900541,22";"2769513675,06";"135225666,15";"668271082,13";"2873008086,11";"7163287,09";"410009186,31";"1455614363,59";"2500318232,69";"924970068,07";"4494536785,06";"940166,51";"7011356,03";"5959657,40";"1544781,12";"8683313,23";"126085208,87";"597924185,66";"663361580,25";"3852911940,61";"15502013066,06";;"46231996638,16"
""Echino"";"3835751,79";"51009987,98";"27686,25";"14161245,66";"1342467471,91";"418331484,03";"516396529,41";"1497154,56";"56023267,01";"52778425,95";"345700034,24";"39786569,08";"288855643,27";"869474888,36";"2594485,21";"189523801,20";"456566160,98";"924970068,07";"236309252,26";"2173275404,81";"75857,89";"2118801,91";"2595331,28";"671147,28";"3724834,68";"52180580,59";"262839964,87";"263842604,82";"1524260479,15";"9215927448,18";;"19311822362,72"
""BenthAlga"";"430686423,34";"1589901674,80";"2798447,75";"269108314,57";"42880912482,65";"2124441284,41";"141650629455,00";"5638465,54";"120404920,33";"93713301,56";"83885625478,05";"873558401,84";"787590705,83";"7673176537,65";"10004720,53";"302273823,51";"10935914903,58";"3895265213,72";"1883505350,84";"3238220261,88";"15114223,67";"18697211,59";"6570215,53";"3037889,78";"8475113,63";"127874597,03";"446642635,81";"1960296176,29";"4265867562,00";"14324055258,20";;"323830001050,92"
""BillFish"";"703045,19";"2433460,60";"5295,05";"395792,76";"50107522,15";"9090881,35";"97755031,47";"18113,92";"49297,78";"39411,84";"58344517,49";"588513,07";"476635,61";"2703354,01";"9438,12";"724871,55";"7537870,02";"313388,84";"25285,96";"5813162,95";"32327,67";"2980,87";"1912,44";"7175,61";"609,12";"80180,48";"324528,70";"1008845,64";"317544,97";"151636901,11";;"390547896,34"
""BenthPred"";"137002,69";"493882,92";"3715,21";"88106,14";"44965182,82";"4097476,52";"120747073,34";"11264,70";"959081,77";"414522,22";"73046445,61";"860463,81";"2978147,24";"10231563,75";"43439,80";"2812713,78";"11210316,25";"5141661,09";"1553788,07";"15820717,50";"6557,92";"168342,11";"84682,03";"12089,94";"65676,01";"575002,08";"4229707,81";"2633753,95";"14875998,31";"62237001,76";;"380505377,14"
""DemSha"";"128458,01";"515578,38";"1950,87";"90746,63";"1744587,05";"619539,43";"3531212,13";"4500,40";"318204,73";"154338,94";"1042644,66";"194697,00";"1196188,97";"4818376,26";"15994,87";"866227,28";"2222818,89";"4370415,43";"1903242,94";"5559413,14";"4207,37";"84682,03";"29999,92";"5366,09";"24031,01";"223867,50";"1139173,63";"987250,76";"6321468,95";"15459783,16";;"53578966,44"
""GroupSnap"";"550820,11";"1895919,03";"4115,30";"313111,22";"63480057,35";"5153921,83";"184481529,18";"9947,56";"108780,08";"63464,24";"110556071,14";"1029270,44";"656356,39";"6384038,33";"9105,69";"493460,27";"13270544,27";"1647766,53";"715890,43";"3738941,27";"22961,95";"17585,36";"7805,22";"4465,54";"6523,98";"102397,09";"502754,49";"1939168,40";"2399954,36";"60404506,28";;"459971233,33"
""Ray"";"46876,47";"201499,19";"924,69";"29353,55";"12977177,02";"1254799,98";"35335134,15";"4609,81";"277063,08";"200517,44";"21282495,51";"436562,00";"1311494,29";"7101760,33";"18037,58";"814233,87";"5312889,48";"6367763,04";"2731545,43";"7171250,00";"1340,06";"65676,01";"24031,01";"4485,24";"21806,17";"247223,08";"1166091,13";"1760278,31";"7425267,96";"19117183,07";;"132709368,96"
""Spar"";"8468400,30";"33229393,36";"58348,48";"5816437,96";"782032310,67";"59585157,38";"2386171684,53";"193230,88";"5094038,44";"4768061,72";"1407191086,71";"17764032,71";"29967515,18";"203940028,76";"349590,84";"15469881,28";"224305423,74";"151302250,64";"62616696,71";"177057134,35";"288649,73";"940912,50";"366328,63";"115196,72";"404546,86";"5198668,96";"20356730,75";"55356090,39";"159099645,44";"763239457,44";;"6580746932,07"
""BenthFeed"";"30665438,60";"116178442,06";"224932,66";"19373699,72";"3345651134,33";"206541338,93";"10591776503,18";"637121,33";"18553241,35";"16029454,12";"6284621072,69";"76653273,66";"103533095,20";"846165354,31";"1358997,73";"53640090,50";"988048351,99";"637785798,03";"280362629,20";"549714013,31";"1038491,85";"6152302,27";"1656979,82";"502754,49";"1696132,55";"18094871,78";"61439679,28";"233774475,23";"555261529,13";"2028245563,25";;"27075376762,54"
""Shri"";"103648922,45";"553584465,25";"566119,32";"115143138,61";"5941351246,99";"1848234324,35";"6029911295,39";"4382230,08";"51348338,71";"31762816,52";"3304370392,04";"77316996,60";"250192176,99";"920867138,76";"4167988,87";"249731350,07";"857226556,76";"663361580,25";"263842604,82";"2261880203,42";"3026536,93";"3591482,66";"1346251,04";"1817970,37";"2400379,51";"46130075,32";"219163570,52";"219156543,83";"1035691620,31";"38037275041,31";;"63102489358,04"
""MeioBenth"";"20625820,63";"114156553,17";"177141,07";"23346840,38";"3004664540,71";"513729758,71";"6161774967,92";"2035005,24";"76283724,33";"78996585,44";"3673555610,81";"120420985,78";"421759942,35";"2321377891,79";"4879264,82";"237716695,48";"1472496083,14";"2311747164,37";"914556287,49";"2953292927,54";"571580,94";"12171271,34";"5172110,96";"1349974,33";"6075219,24";"79549822,72";"312334610,14";"621414972,19";"2423949623,83";"9964596982,79";;"37854779959,63"
""Phyto"";"6483286255,25";"23347888234,20";"42534479,37";"3958557592,22";"713034755384,50";"40378327063,25";"2272651109189,35";"77279771,14";"299750947,93";"91048914,67";"1354222191971,07";"11863507130,21";"3663438609,52";"66539694031,95";"41133985,98";"1296640611,09";"154075654028,91";"8267740301,90";"4915161305,70";"8814803235,81";"242619041,77";"45263274,01";"11243478,66";"30202253,14";"13903405,87";"339217536,64";"1014122781,63";"20286546688,70";"8857419540,26";"318632741476,67";;"5023537782521,35"

