"TI3";""Seal"";""Aherr"";""Jherr"";""Asprat"";""Acod"";""Jcod"";""Jsprat"";""Bmacrof"";""Pmacrof"";""Mesozoopl"";""Microzoopl"";""Baci"";""Sprphyto"";""Suphyto"";""Bmeiof"";;SUM
""Jsprat"";"0,00";"0,10";"0,10";"0,00";"0,07";"0,07";"0";"0,10";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,43"
""Bmacrof"";"0,00";"0,13";"0,13";"0,00";"0,10";"0,10";"0,10";"0";"0,03";"0,00";"0,03";"0,00";"0,00";"0,00";"0,00";;"0,63"
""Pmacrof"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,03";"0";"0,03";"0,07";"0,00";"0,00";"0,00";"0,00";;"0,13"
""Mesozoopl"";"0,03";"0,03";"0,03";"0,00";"0,03";"0,03";"0,00";"0,00";"0,03";"0";"0,10";"0,03";"0,03";"0,07";"0,00";;"0,43"
""Microzoopl"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,03";"0,07";"0,10";"0";"0,03";"0,03";"0,03";"0,00";;"0,30"
""Baci"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,03";"0,03";"0";"0,03";"0,03";"0,00";;"0,13"
""Sprphyto"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,03";"0,03";"0,03";"0";"0,03";"0,00";;"0,13"
""Suphyto"";"0,00";"0,03";"0,03";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,07";"0,03";"0,03";"0,03";"0";"0,00";;"0,23"
""Bmeiof"";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0";;"0,00"


"WI3";""Seal"";""Aherr"";""Jherr"";""Asprat"";""Acod"";""Jcod"";""Jsprat"";""Bmacrof"";""Pmacrof"";""Mesozoopl"";""Microzoopl"";""Baci"";""Sprphyto"";""Suphyto"";""Bmeiof"";;SUM
""Seal"";"0,24";"13145893,73";"19332544,76";"29783329,41";"11758,72";"15612,01";"24545329,44";"58246,03";"16338950,53";"2559715,51";"181542091,84";"0,00";"3582543,73";"727263667,35";"1180280,16";;"1019359963,46"
""Aherr"";"30673752,05";"36698695840,57";"56204883615,54";"42615059245,58";"2804452167,46";"14588782520,10";"62716028761,86";"169799884182,47";"2208648202053,30";"74452740519989,30";"13454425444938,10";"79396863860714,30";"2741937726179,38";"5475101958652,38";"3446902698,86";;"178118623075311,00"
""Jherr"";"45109271,10";"56204883615,54";"85985380651,05";"67503081258,67";"4134422785,63";"21168568682,53";"96193077959,49";"227360618066,92";"3265820763017,55";"110097904087419,00";"19909554312868,50";"117537464435714,00";"4050897729088,71";"8212996040969,05";"1705816826,86";;"263634938328195,00"
""Asprat"";"39711105,88";"24351462426,04";"38573189290,67";"28878370,16";"3645739809,25";"18416219674,29";"35081145775,53";"9187259076,25";"2871815045788,04";"98558407708466,10";"17354924164285,70";"105462931246429,00";"3631804407467,28";"5892328329166,67";"311309001,24";;"233901845816132,00"
